x,y
3.84,2.58
2.35,17.51
9.61,8.08
8.77,89.84
1.38,7.86
7.17,20.68
2.95,86.12
3.24,36.07
9.0,73.15
7.21,39.01
5.03,6.97
4.05,5.17
0.3,16.69
8.69,55.38
4.49,46.26
2.17,89.07
1.72,85.06
5.1,90.96
0.24,65.42
7.85,91.55
3.85,87.5
5.9,60.52
2.66,5.69
1.76,8.79
4.85,12.03
8.96,62.31
1.22,81.68
6.56,12.27
2.39,25.99
4.19,10.81
8.34,80.47
6.48,36.29
0.26,95.42
9.85,57.33
4.32,28.51
7.06,91.79
6.78,0.92
5.96,86.31
1.09,50.73
4.6,71.91
0.42,93.7
1.09,9.99
7.81,68.61
9.4,48.44
1.37,12.63
7.19,65.51
1.82,15.3
4.8,5.5
4.69,29.05
9.43,68.67
7.3,94.24
5.43,48.58
0.22,29.88
6.4,43.75
6.02,2.65
3.79,5.67
1.69,91.05
6.92,4.92
1.27,53.81
5.59,80.6
6.13,21.72
2.87,5.09
8.83,41.9
2.54,19.42
3.46,72.66
9.09,50.24
1.87,62.53
3.61,78.1
1.91,95.63
8.06,35.26
4.02,21.48
3.49,28.32
4.03,4.99
9.66,61.98
8.23,83.33
8.23,17.96
6.57,46.02
1.78,78.89
7.29,32.08
4.92,50.68
4.43,30.35
0.02,39.42
4.05,64.78
9.13,82.72
0.67,32.59
0.2,22.44
0.14,39.13
4.61,54.34
0.36,71.43
6.67,41.19
7.26,11.49
0.68,91.94
9.25,48.49
1.7,21.47
1.32,43.59
6.65,25.61
9.75,12.53
3.42,48.41
2.06,92.65
2.76,28.5
