points,price
87,15.0
87,14.0
87,13.0
87,65.0
87,15.0
87,16.0
87,24.0
87,12.0
87,27.0
87,19.0
87,30.0
87,34.0
87,12.0
87,24.0
87,30.0
87,13.0
87,28.0
87,32.0
87,23.0
87,20.0
87,19.0
87,22.0
87,35.0
87,69.0
87,13.0
87,10.0
87,17.0
86,16.0
86,50.0
86,20.0
86,50.0
86,15.0
86,21.0
86,11.0
86,12.0
86,17.0
86,22.0
86,9.0
86,14.0
86,9.0
86,40.0
86,13.0
86,13.0
86,16.0
86,14.0
85,22.0
85,14.0
85,15.0
85,30.0
85,14.0
85,13.0
85,13.0
86,55.0
86,100.0
86,17.0
86,25.0
86,58.0
86,26.0
86,24.0
86,15.0
86,46.0
86,12.0
86,55.0
86,12.0
86,40.0
86,32.0
86,75.0
86,55.0
86,75.0
86,9.0
86,18.0
86,25.0
86,12.0
86,16.0
86,11.0
86,20.0
86,24.0
86,10.0
86,20.0
86,55.0
86,29.0
88,19.0
88,23.0
88,18.0
88,55.0
88,12.0
88,22.0
88,20.0
88,18.0
88,20.0
88,30.0
88,75.0
88,18.0
87,20.0
87,20.0
87,18.0
87,16.0
87,14.0
87,30.0
87,18.0
87,26.0
87,30.0
87,23.0
87,85.0
87,15.0
87,19.0
87,18.0
87,18.0
87,25.0
87,44.0
87,80.0
92,80.0
92,70.0
92,36.0
92,39.0
92,40.0
92,45.0
91,45.0
91,48.0
91,13.0
91,17.0
91,25.0
91,70.0
91,20.0
91,30.0
91,68.0
91,78.0
91,60.0
91,50.0
90,10.0
90,112.0
90,26.0
90,45.0
90,17.0
90,84.0
91,85.0
91,64.0
91,68.0
91,68.0
91,16.0
91,35.0
91,25.0
91,30.0
91,55.0
91,46.0
91,50.0
91,36.0
91,14.0
91,26.0
91,38.0
91,35.0
91,35.0
91,28.0
91,29.0
91,32.0
91,25.0
91,28.0
91,95.0
91,44.0
91,30.0
91,22.0
91,20.0
91,38.0
88,19.0
88,25.0
88,50.0
88,22.0
88,25.0
88,27.0
88,23.0
88,36.0
88,12.0
88,35.0
88,15.0
88,40.0
88,48.0
88,11.0
87,11.0
87,26.0
87,30.0
87,20.0
87,35.0
87,35.0
87,18.0
90,23.0
90,60.0
90,28.0
90,62.0
90,50.0
90,28.0
90,30.0
90,25.0
90,25.0
90,32.0
90,40.0
90,16.0
90,20.0
90,32.0
90,40.0
90,48.0
90,36.0
90,80.0
90,57.0
90,20.0
90,20.0
90,36.0
90,40.0
90,40.0
90,22.0
90,25.0
90,20.0
85,15.0
85,14.0
85,18.0
85,16.0
85,10.0
85,12.0
85,28.0
85,10.0
85,49.0
85,85.0
