province,points,percentage
Colchagua Valley,87.09744214372716,18.595696489241224
Maule Valley,85.96781115879828,10.554926387315968
Maipo Valley,86.82561728395062,14.677236693091732
Rapel Valley,85.94444444444444,3.669309173272933
Leyda Valley,86.59555555555555,5.096262740656852
Aconcagua Valley,88.19298245614036,2.582106455266138
Loncomilla Valley,86.3,0.45300113250283125
Casablanca Valley,86.24496644295301,13.499433748584371
Curicó Valley,85.62605042016807,5.390713476783692
Limarí Valley,86.18627450980392,2.3103057757644394
Colchagua Costa,86.5,0.2718006795016987
Central Valley,84.72598870056497,8.018120045300114
Lontué Valley,85.8,0.5662514156285391
Chile,85.74468085106383,1.0645526613816534
Rio Claro,84.0,0.11325028312570781
Cachapoal Valley,87.27941176470588,4.620611551528879
Aconcagua Costa,87.62962962962963,0.6115515288788222
Bío Bío Valley,85.57142857142857,0.9513023782559457
Peumo,89.33333333333333,0.8154020385050963
Elqui Valley,85.9622641509434,1.2004530011325028
Marchigue,88.79166666666667,0.5436013590033975
Puente Alto,91.85714285714286,0.3171007927519819
San Antonio,87.10144927536231,1.5628539071347678
Itata Valley,85.83333333333333,0.2718006795016987
Santa Cruz,91.5,0.13590033975084936
Lolol Valley,86.36363636363636,0.4983012457531144
Cauquenes Valley,88.88888888888889,0.20385050962627407
Apalta,88.08333333333333,0.2718006795016987
Malleco,85.33333333333333,0.06795016987542468
Choapa Valley,85.33333333333333,0.06795016987542468
Sagrada Familia,88.5,0.045300113250283124
San Clemente,86.75,0.09060022650056625
Buin,91.125,0.1812004530011325
Maipo Valley-Colchagua Valley,88.0,0.06795016987542468
Leyda Valley-Maipo Valley,86.5,0.045300113250283124
Pirque,90.16666666666667,0.13590033975084936
Molina,83.375,0.1812004530011325
Curicó and Maipo Valleys,86.0,0.045300113250283124
Curicó and Leyda Valleys,86.66666666666667,0.06795016987542468
Casablanca-Curicó Valley,87.0,0.022650056625141562
Coelemu,88.0,0.022650056625141562
Requinoa,86.5,0.045300113250283124
Casablanca & Leyda Valleys,86.0,0.06795016987542468
