province,points,percentage
Istria,87.47826086956522,32.394366197183096
Peljesac,87.46153846153847,18.309859154929576
Korčula,87.83333333333333,8.450704225352112
Croatia,88.0,1.408450704225352
Podunavlje,85.0,7.042253521126761
Dalmatian Coast,88.0,1.408450704225352
Middle and South Dalmatia,82.0,1.408450704225352
Kutjevo,87.66666666666667,4.225352112676056
North Dalmatia,87.91666666666667,16.901408450704224
Hvar,87.66666666666667,4.225352112676056
Dingač,90.0,1.408450704225352
Hrvatsko Primorje,84.0,1.408450704225352
Krk,88.0,1.408450704225352
