province,points,percentage
Alsace,89.60316721006055,12.078082808280827
Beaujolais,88.10047281323877,4.759225922592259
Bordeaux,87.96226886556721,22.513501350135012
Champagne,90.26319595083153,7.78015301530153
Burgundy,89.63940759819704,17.472997299729972
France Other,86.28013582342955,3.3134563456345636
Southwest France,88.63595505617978,7.51012601260126
Rhône Valley,89.00575815738964,5.861836183618362
Languedoc-Roussillon,87.10865874363327,3.3134563456345636
Provence,88.26075504828798,6.407515751575158
Loire Valley,88.50625782227785,8.989648964896489
