province,points,percentage
Santorini,88.20833333333333,10.412147505422993
Crete,87.18518518518519,5.856832971800434
Corinth,86.5,1.3015184381778742
Halkidiki,88.2,1.0845986984815619
Epanomi,88.625,3.470715835140998
Nemea,87.03921568627452,11.062906724511931
Peloponnese,87.10714285714286,12.147505422993492
Drama,87.85,8.676789587852495
Pangeon,87.41176470588235,3.6876355748373104
Mantinia,88.0,5.639913232104122
Chalkidiki,88.2,1.0845986984815619
Rapsani,88.0,0.6507592190889371
Pageon,85.0,0.8676789587852495
Naoussa,86.95833333333333,5.206073752711497
Atalanti Valley,87.64285714285714,3.036876355748373
Macedonia,86.625,1.735357917570499
Samos,86.83333333333333,1.3015184381778742
Patras,87.33333333333333,0.6507592190889371
Korinthia,87.33333333333333,0.6507592190889371
Greece,84.84615384615384,2.819956616052061
Florina,87.92307692307692,2.819956616052061
Mavrodaphne of Patras,86.0,0.8676789587852495
Attica,85.83333333333333,1.3015184381778742
Thraki,87.0,0.21691973969631237
Monemvasia,86.0,0.21691973969631237
Ismarikos,85.33333333333333,0.6507592190889371
Sithonia,89.0,0.6507592190889371
Agioritikos,86.33333333333333,0.6507592190889371
Beotia,86.0,0.21691973969631237
Retsina,91.0,0.43383947939262474
Amindeo,83.5,0.43383947939262474
Cephalonia,86.75,1.735357917570499
Cyclades,84.0,0.43383947939262474
Achaia,85.8,1.0845986984815619
Amyndeon,86.6,1.0845986984815619
Central Greece,86.0,0.21691973969631237
Mavrodaphne de Cephalonie,88.0,0.21691973969631237
Goumenissa,87.66666666666667,0.6507592190889371
Messinia,88.0,0.21691973969631237
Lakonia,88.5,0.43383947939262474
Markopoulo,90.0,0.21691973969631237
Krania Olympus,87.0,0.21691973969631237
Corinthia,86.0,0.21691973969631237
Mount Athos,87.5,0.43383947939262474
Sterea Ellada,86.0,0.21691973969631237
Muscat of Patras,86.0,0.21691973969631237
Imathia,87.0,0.21691973969631237
Letrinon,89.5,0.43383947939262474
Muscat of Kefallonian,87.0,0.21691973969631237
Thessalikos,86.5,0.43383947939262474
Limnos,85.0,0.43383947939262474
Arcadia,87.0,0.21691973969631237
Vin de Pays de Velvendo,87.0,0.43383947939262474
Lesbos,84.0,0.21691973969631237
