province,points,percentage
Judean Hills,89.06194690265487,23.10838445807771
Galilee,88.53461538461538,53.169734151329244
Dan,86.5,0.40899795501022496
Negev Hills,84.6,1.0224948875255624
Upper Galilee,88.09375,6.543967280163599
Ella Valley,89.25,0.8179959100204499
Shomron,86.85,4.08997955010225
Samson,88.75,2.4539877300613497
Galil,86.46153846153847,2.658486707566462
Israel,88.92857142857143,2.8629856850715747
Haut-Judeé,89.75,0.8179959100204499
Golan Heights,89.66666666666667,0.6134969325153374
Negev,87.33333333333333,0.6134969325153374
Jerusalem Hills,89.75,0.8179959100204499
