province,points,percentage
Sicily & Sardinia,88.19243104554201,9.217216507035593
Southern Italy,87.86472148541114,6.686768357573608
Central Italy,87.42818181818181,6.503488234598557
Tuscany,89.14840093603745,30.318079697292184
Piedmont,89.58497895759146,18.26297741515904
Northeastern Italy,88.03524672708963,11.741752394466122
Veneto,87.8622030237581,13.686886602814237
Italy Other,87.96428571428571,0.6621733475227622
Lombardy,88.87110187110187,2.8437980371290057
Northwestern Italy,87.0,0.07685940640889204
