province,points,percentage
Marlborough,87.87515923566879,56.966618287373
Hawke's Bay,89.37007874015748,9.216255442670537
Martinborough,89.17391304347827,6.6763425253991295
Central Otago,89.24223602484471,11.683599419448477
Awatere Valley,88.74074074074075,1.9593613933236576
Canterbury,87.4,0.7256894049346879
Wairau Valley,87.63636363636364,0.7982583454281568
Kumeu,90.27586206896552,2.1044992743105952
Nelson,87.52777777777777,2.6124818577648767
Waipara Valley,89.06666666666666,1.0885341074020318
South Island,86.75,0.8708272859216255
Gisborne,88.2,0.7256894049346879
Wairarapa,87.28571428571429,0.5079825834542816
Waipara,87.8,1.8142235123367199
New Zealand,86.5,0.8708272859216255
Waitaki Valley,89.0,0.07256894049346879
East Coast,86.28571428571429,0.5079825834542816
Waiheke Island,89.5,0.7256894049346879
Gladstone,91.0,0.07256894049346879
