province,points,percentage
Douro,89.13932980599647,23.26153846153846
Alentejano,87.99269183922047,16.84102564102564
Alentejo,88.68072289156626,3.405128205128205
Beira Atlantico,90.0,0.28717948717948716
Vinho Verde,86.4149855907781,7.1179487179487175
Tejo,86.91467576791808,12.02051282051282
Lisboa,87.51569506726457,9.148717948717948
Península de Setúbal,87.29268292682927,2.523076923076923
Port,90.31322505800465,8.841025641025642
Dão,89.64309764309765,6.092307692307692
Bairrada,88.76875,3.282051282051282
Ribatejano,87.0,0.3076923076923077
Duriense,88.33333333333333,0.49230769230769234
Beiras,90.0,0.28717948717948716
Vinho Espumante,84.75,0.08205128205128205
Terras do Dão,87.75,0.08205128205128205
Beira Interior,88.97058823529412,0.6974358974358974
Minho,87.76595744680851,0.9641025641025641
Bucelas,88.88888888888889,0.36923076923076925
Estremadura,86.0,0.7589743589743589
Portuguese Table Wine,87.3,0.41025641025641024
Setubal,86.5,0.3282051282051282
Trás-os-Montes,88.33333333333333,0.18461538461538463
Table wine,81.0,0.020512820512820513
Moscatel de Setúbal,89.83333333333333,0.12307692307692308
Ribatejo,88.23076923076923,0.26666666666666666
Palmela,87.57894736842105,0.38974358974358975
Alenquer,87.5,0.12307692307692308
Obidos,88.85714285714286,0.14358974358974358
Vinho Espumante de Qualidade,86.0909090909091,0.22564102564102564
Madeira,93.9090909090909,0.22564102564102564
Algarve,86.88888888888889,0.18461538461538463
Terras do Sado,88.0,0.18461538461538463
Vinho da Mesa,91.0,0.020512820512820513
Moscatel do Douro,91.0,0.10256410256410256
Portugal,88.0,0.08205128205128205
Vinho Licoroso,90.5,0.041025641025641026
Colares,90.5,0.041025641025641026
Alenteo,88.0,0.020512820512820513
Távora-Varosa,86.0,0.020512820512820513
