province,points,percentage
Recas,86.92307692307692,10.833333333333334
Dealu Mare,86.93548387096774,25.833333333333332
Jidvei,86.0,2.5
Panciu,88.5,1.6666666666666667
Romania,86.14285714285714,17.5
Tarnave,85.2,4.166666666666667
Viile Timisului,86.4090909090909,18.333333333333332
Sebes,87.66666666666667,2.5
Murfatlar,86.71428571428571,5.833333333333333
Dealurile Munteniei,84.77777777777777,7.5
Vânju Mare,84.5,1.6666666666666667
Dealurile Hușilor,86.0,0.8333333333333334
Viile Timis,84.0,0.8333333333333334
