province,points,percentage
Stellenbosch,88.48337595907928,30.239752513534416
Simonsberg-Stellenbosch,89.21621621621621,2.8615622583139984
Western Cape,86.7090909090909,21.268368136117555
Coastal Region,87.33076923076923,10.05413766434648
Darling,86.5,0.46403712296983757
Robertson,86.94318181818181,6.8058778035576175
Swartland,88.84615384615384,5.02706883217324
Walker Bay,87.5625,1.237432327919567
Paarl,88.28,5.800464037122969
Constantia,88.77272727272727,1.7014694508894044
South Africa,87.2,0.3866976024748647
Franschhoek,87.5,1.7014694508894044
Elgin,88.20454545454545,3.4029389017788088
Wellington,87.73913043478261,1.7788089713843773
Simonsberg-Paarl,86.75,0.30935808197989173
Overberg,87.71428571428571,0.5413766434648105
Olifants River,88.5,0.15467904098994587
Groenekloof,89.0,0.30935808197989173
Lutzville Valley,85.0,0.07733952049497293
Durbanville,86.45454545454545,0.8507347254447022
Breedekloof,88.66666666666667,0.23201856148491878
Cederberg,88.16666666666667,0.46403712296983757
Philadelphia,89.75,0.30935808197989173
Jonkershoek Valley,90.25,0.30935808197989173
Eilandia,87.66666666666667,0.23201856148491878
Tulbagh,89.1,0.7733952049497294
Hemel en Aarde,90.3,0.7733952049497294
Cape South Coast,85.0,0.07733952049497293
Northern Cape,85.0,0.15467904098994587
Breede River Valley,86.0,0.07733952049497293
Elim,89.5,0.15467904098994587
Vlootenburg,85.0,0.07733952049497293
Polkadraai Hills,85.0,0.23201856148491878
Bot River,89.0,0.3866976024748647
Paardeberg,88.0,0.07733952049497293
Helderberg,87.5,0.15467904098994587
Cape Peninsula,90.66666666666667,0.23201856148491878
Malgas,90.0,0.07733952049497293
Devon Valley,84.0,0.15467904098994587
Cape Agulhas,90.0,0.07733952049497293
