country,code,points
Canada,CAN,89.37795275590551
Cyprus,CYP,87.18181818181819
Slovakia,SVK,87.0
New Zealand,NZL,88.30841799709724
Georgia,GEO,87.67857142857143
Macedonia,MKD,86.83333333333333
Portugal,PRT,88.31671794871795
Uruguay,URY,86.75229357798165
Turkey,TUR,88.08888888888889
Switzerland,CHE,88.57142857142857
France,FRA,88.73486723672367
Armenia,ARM,87.5
China,CHN,89.0
Greece,GRC,87.2885032537961
Spain,ESP,87.29073482428115
Hungary,HUN,89.1655172413793
South Africa,ZAF,87.83139984532096
England,GBR,91.55072463768116
Argentina,ARG,86.71033013844516
Croatia,HRV,87.35211267605634
Chile,CHL,86.49513023782559
Israel,ISR,88.49693251533742
Lebanon,LBN,87.68571428571428
Brazil,BRA,84.65957446808511
US,USA,88.56638717405326
Italy,ITA,88.61818611800875
Bosnia and Herzegovina,BIH,86.5
Slovenia,SVN,88.0125
India,IND,90.22222222222223
Luxembourg,LUX,88.66666666666667
Austria,AUT,90.19078242229368
Mexico,MEX,85.25714285714285
Bulgaria,BGR,87.93617021276596
Australia,AUS,88.59546643417612
Serbia,SRB,87.5
Romania,ROU,86.4
Peru,PER,83.5625
Czech Republic,CZE,87.25
Moldova,MDA,87.20338983050847
Germany,DEU,89.83632075471698
Ukraine,UKR,84.07142857142857
Morocco,MAR,88.57142857142857
