,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Trevor Bauer,30.29,P,6-1,205,R,R,1991-01-17,"North Hollywood,CA",2012-2021,LAD
1,Phil Bickford,25.317,P,6-4,200,R,R,1995-07-10,"Ventura,CA",2020-2021,LAD
2,Justin Bruihl,24.043,P,6-2,215,L,L,1997-06-26,"Petaluma,CA",2021-2021,LAD
3,Walker Buehler,26.197,P,6-2,185,R,R,1994-07-28,"Lexington,KY",2017-2021,LAD
4,Danny Duffy,32.318,P,6-3,185,L,L,1988-12-21,"Goleta,CA",2011-2021,LAD
5,Caleb Ferguson,25.123,P,6-3,226,R,L,1996-07-02,"West Jefferson,OH",2018-2020,LAD
6,Tony Gonsolin,27.118,P,6-3,205,R,R,1994-05-14,"Vacaville,CA",2019-2021,LAD
7,Brusdar Graterol,22.342,P,6-1,265,R,R,1998-08-26,"Calobozo,VZ",2019-2021,LAD
8,Michael Grove,24.336,P,6-3,200,R,R,1996-12-18,"Wheeling,WV",,LAD
9,Andrew Heaney,30.158,P,6-2,164,L,L,1991-06-05,"Oklahoma City,OK",2014-2021,LAD
10,Andre Jackson,25.154,P,6-3,210,R,R,1996-05-01,"Tucson,AZ",2021-2021,LAD
11,Tom Kahnle,32.088,P,6-1,230,R,R,1989-08-07,"Latham,NY",2014-2020,LAD
12,Clayton Kershaw,33.228,P,6-4,225,L,L,1988-03-19,"Dallas,TX",2008-2021,LAD
13,Dustin May,24.058,P,6-6,180,R,R,1997-09-06,"Justin,TX",2019-2021,LAD
14,Jimmy Nelson,32.15,P,6-6,250,R,R,1989-06-05,"Klamath Falls,OR",2013-2021,LAD
15,Evan Phillips,26.353,P,6-2,215,R,R,1994-09-11,"Salisbury,MD",2018-2021,LAD
16,David Price,35.264,P,6-6,215,L,L,1985-08-26,"Nashville,TN",2008-2021,LAD
17,Blake Treinen,32.189,P,6-5,225,R,R,1988-06-30,"Osage City,KS",2014-2021,LAD
18,Julio Urias,25.011,P,6-0,225,L,L,1996-08-12,"Culiacan,MX",2016-2021,LAD
19,Andrew Vasquez,28.024,P,6-5,210,B,L,1993-09-14,"Riverside,CA",2018-2021,LAD
20,Alex Vesia,25.088,P,6-1,209,L,L,1996-04-11,"Alpine,CA",2020-2021,LAD
21,Austin Barnes,31.048,C-2B-,5-10,187,R,R,1989-12-28,"Orange,CA",2015-2021,LAD
22,Will Smith,25.148,C-DH-,5-10,195,R,R,1995-03-28,"Louisville,KY",2019-2021,LAD
23,Jacob Amaya,23.077,SS-2B,5-10,165,R,R,1998-09-03,"West Covina,CA",,LAD
24,Matt Beaty,28.135,1B-LF,6-0,215,L,R,1993-04-28,"Snellville,GA",2019-2021,LAD
25,Eddys Leonard,21.008,SS-2B,6-0,160,R,R,2000-11-10,"Santo Domingo,DR",,LAD
26,Gavin Lux,23.291,SS-2B,6-2,190,L,R,1997-11-23,"Kenosha,WI",2019-2021,LAD
27,Zach McKinstry,26.16,2B-SS,6-0,180,L,R,1995-04-29,"Fort Wayne,IN",2020-2021,LAD
28,Max Muncy,30.335,1B-2B,6-0,215,L,R,1990-08-25,"Midland,TX",2015-2021,LAD
29,Edwin Rios,27.196,3B-1B,6-3,220,L,R,1994-04-21,"Kissimmee,FL",2019-2021,LAD
30,Justin Turner,36.088,3B-DH,5-11,202,R,R,1984-11-23,"Long Beach,CA",2009-2021,LAD
31,Trea Turner,28.036,SS-2B,6-2,185,R,R,1993-06-30,"Lake Worth,FL",2015-2021,LAD
32,Jorbit Vivas,20.254,2B-3B,5-10,145,L,R,2001-03-09,"Puerto Cabello,VZ",,LAD
33,Cody Bellinger,26.077,CF-RF,6-4,203,L,L,1995-07-13,"Chandler,AZ",2017-2021,LAD
34,Mookie Betts,28.322,RF-CF,5-9,180,R,R,1992-10-07,"Brentwood,TN",2014-2021,LAD
35,James Outman,24.188,CF-RF,6-2,195,L,R,1997-05-14,"Redwood City,CA",,LAD
36,AJ Pollock,33.291,LF-CF,6-1,210,R,R,1987-12-05,"Hebron,CT",2012-2021,LAD
37,Luke Raley,27.017,RF-LF,6-4,235,L,R,1994-09-19,"Hinckley,OH",2021-2021,LAD
