,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Madison Bumgarner,31.349,P,6-4,255,R,L,1989-08-01,"Hudson,NC",2009-2021,ARI
1,Zack Burdi,26.219,P,6-3,210,R,R,1995-03-09,"Downers Grove,IL",2020-2021,ARI
2,Humberto Castellanos,23.154,P,5-11,218,R,R,1998-04-03,"Tepatitlan,MX",2020-2021,ARI
3,Brett De Geus,23.233,P,6-1,190,R,R,1997-11-04,"Pleasanton,CA",2021-2021,ARI
4,Luis Frias,23.118,P,6-3,180,R,R,1998-05-23,"Rio San Juan,DR",2021-2021,ARI
5,Zac Gallen,25.348,P,6-2,198,R,R,1995-08-03,"Gibbsboro,NJ",2019-2021,ARI
6,Tyler Gilbert,27.287,P,6-3,195,L,L,1993-12-22,"Felton,CA",2021-2021,ARI
7,Merrill Kelly,33.021,P,6-2,210,R,R,1988-10-14,"Houston,TX",2019-2021,ARI
8,Joe Mantiply,30.175,P,6-5,200,R,L,1991-03-01,"Danville,VA",2016-2021,ARI
9,Humberto Mejia,24.2,P,6-4,235,R,R,1997-03-03,"Panama City,PN",2020-2021,ARI
10,Kyle Nelson,25.138,P,6-1,175,L,L,1996-07-08,"San Francisco,CA",2020-2021,ARI
11,Sean Poppen,27.168,P,6-3,205,R,R,1994-03-15,"Chesapeake,VA",2019-2021,ARI
12,Noe Ramirez,31.24,P,6-3,180,R,R,1989-12-22,"Los Angeles,CA",2015-2021,ARI
13,Caleb Smith,30.045,P,6-0,206,L,L,1991-07-28,"Huntsville,TX",2017-2021,ARI
14,Edwin Uceta,23.29,P,6-0,155,R,R,1998-01-09,"Villa Los Almacigos,DR",2021-2021,ARI
15,Luke Weaver,28.01,P,6-2,185,R,R,1993-08-21,"DeLand,FL",2016-2021,ARI
16,Ryan Weiss,24.344,P,6-4,202,R,R,1996-12-10,"South Elgin,OH",,ARI
17,J.B. Wendelken,28.139,P,6-1,242,R,R,1993-03-24,"Guyton,GA",2016-2021,ARI
18,Taylor Widener,26.297,P,6-0,230,L,R,1994-10-24,"Aiken,SC",2020-2021,ARI
19,Jose Herrera,24.257,C,5-10,185,R,R,1997-02-24,"San Carlos,VZ",,ARI
20,Cooper Hummel,26.356,LF-C-,5-10,185,B,R,1994-11-28,"Lake Oswego,OR",,ARI
21,Carson Kelly,27.016,C-3B-,6-2,210,R,R,1994-07-14,"Portland,OR",2016-2021,ARI
22,Daulton Varsho,24.352,C-CF-,5-10,205,L,R,1996-07-02,"Chili,WI",2020-2021,ARI
23,Nick Ahmed,31.204,SS,6-2,200,R,R,1990-03-15,"East Longmeadow,MA",2014-2021,ARI
24,Seth Beer,25.045,1B-LF,6-2,195,L,R,1996-09-18,"Maryville,IL",2021-2021,ARI
25,Ketel Marte,27.292,CF-2B,6-1,210,B,R,1993-10-12,"Nizao,DR",2015-2021,ARI
26,Geraldo Perdomo,21.339,SS-2B,6-2,184,R,R,1999-10-22,"Santo Domingo,DR",2021-2021,ARI
27,Pavin Smith,25.18,1B-RF,6-2,210,L,L,1996-02-06,"Jupiter,FL",2020-2021,ARI
28,Josh VanMeter,26.102,2B-LF,5-11,190,L,R,1995-03-10,"Ossian,IN",2019-2021,ARI
29,Christian Walker,30.062,1B-DH,6-0,210,R,R,1991-03-28,"Limerick,PA",2014-2021,ARI
30,Jake McCarthy,24.028,CF-RF,6-2,195,L,L,1997-07-30,"Scranton,PA",2021-2021,ARI
31,David Peralta,32.149,LF-DH,6-1,220,L,L,1987-08-14,"Carabobo,VZ",2014-2021,ARI
32,Kristian Robinson,20.342,CF-RF,6-3,190,R,R,2000-12-11,"Nassau,BM",,ARI
33,Josh Rojas,27.041,2B-LF,6-1,200,L,R,1994-06-30,"Glendale,AZ",2019-2021,ARI
