,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Austin Adams,29.34,P,6-3,220,R,R,1991-05-05,"Tampa,FL",2017-2021,SD
1,Michel Baez,25.286,P,6-8,220,R,R,1996-01-21,"Havana,CU",2019-2020,SD
2,Jose Castillo,25.297,P,6-6,252,L,L,1996-01-10,"Valencia,VZ",2018-2019,SD
3,Mike Clevinger,30.317,P,6-4,215,R,R,1990-12-21,"Jacksonville,FL",2016-2020,SD
4,Efrain Contreras,21.321,P,5-10,185,R,R,2000-01-02,---,,SD
5,Nabil Crismatt,26.23,P,6-1,220,R,R,1994-12-25,"Barranquilla,CB",2020-2021,SD
6,Yu Darvish,35.05,P,6-5,220,R,R,1986-08-16,"Osaka,JP",2012-2021,SD
7,MacKenzie Gore,22.268,P,6-3,195,L,L,1999-02-24,"Whiteville,NC",,SD
8,Tim Hill,30.157,P,6-4,200,L,L,1990-02-10,"Sylmar,CA",2018-2021,SD
9,Pierce Johnson,30.179,p,6-2,202,R,R,1991-05-10,"Denver,CO",2017-2021,SD
10,Reiss Knehr,24.329,P,6-2,215,L,R,1996-11-03,"Glen Head,NY",2021-2021,SD
11,Dinelson Lamet,29.044,P,6-3,228,R,R,1992-07-18,"Santiago,DR",2017-2021,SD
12,Adrian Martinez,24.332,P,6-2,195,R,R,1996-12-10,"Mexicali,MX",,SD
13,Adrian Morejon,22.249,P,5-11,224,L,L,1999-02-27,"Havana,CU",2019-2021,SD
14,Joe Musgrove,28.046,P-LF,6-5,235,R,R,1992-12-04,"El Cajon,CA",2016-2021,SD
15,James Norwood,27.282,P,6-2,215,R,R,1993-12-24,"Manhattan,NY",2018-2021,SD
16,Chris Paddack,25.27,P,6-5,217,R,R,1996-01-08,"Cedar Park,TX",2019-2021,SD
17,Emilio Pagan,29.253,P,6-2,208,L,R,1991-05-07,"Simpsonville,SC",2017-2021,SD
18,Drew Pomeranz,32.345,P,6-5,246,R,L,1988-11-22,"Collierville,TN",2011-2021,SD
19,Blake Snell,28.304,P,6-4,225,L,L,1992-12-04,"Seattle,WA",2016-2021,SD
20,Craig Stammen,37.24,P,6-2,228,R,R,1984-03-09,"Coldwater,OH",2009-2021,SD
21,Matt Strahm,29.356,P,6-2,190,R,L,1991-11-12,"Fargo,ND",2016-2021,SD
22,Steven Wilson,27.087,P,6-3,190,R,R,1994-08-24,"Littleton,CO",,SD
23,Trey Wingenter,27.202,P,6-7,237,R,R,1994-04-15,"Madison,AL",2018-2019,SD
24,Austin Nola,31.31,C-1B-,6-0,197,R,R,1989-12-28,"Baton Rouge,LA",2019-2021,SD
25,Victor Caratini,27.151,C-1B-,6-1,215,B,R,1993-08-17,"Coamo,PR",2017-2021,SD
26,Jake Cronenworth,25.318,2B-SS,6-0,187,L,R,1994-01-21,"St. Clair,MI",2020-2021,SD
27,Adam Frazier,29.224,2B-lf,5-10,185,L,R,1991-12-14,"Athens,GA",2016-2021,SD
28,Javy Guerra,25.357,P,6-0,185,L,R,1995-09-29,"David,PN",2018-2021,SD
29,Eric Hosmer,31.207,1B-DH,6-4,226,L,L,1989-10-24,"Cooper City,FL",2011-2021,SD
30,Ha-Seong Kim,25.075,SS-3B,5-9,168,R,R,1995-10-17,"Bucheon-Si,KR",2021-2021,SD
31,Manny Machado,26.36,3B-SS,6-3,218,R,R,1992-07-06,"Hialeah,FL",2012-2021,SD
32,Eguy Rosario,22.086,SS-3B,5-9,150,R,R,1999-08-25,"Juan Baron,DR",,SD
33,Fernando Tatis,22.225,SS-RF,6-3,217,R,R,1999-01-02,"San Pedro de Macoris,DR",2019-2021,SD
34,Trent Grisham,24.223,CF-LF,5-11,224,L,L,1996-11-01,"Fort Worth,TX",2019-2021,SD
35,Wil Myers,30.164,RF-LF,6-3,207,R,R,1990-12-10,"Thomasville,NC",2013-2021,SD
36,Jurickson Profar,28.257,2B-LF,6-0,184,B,R,1993-02-20,"Willemstad,CC",2012-2021,SD
