,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Anthony Banda,27.359,P,6-2,230,L,L,1993-08-10,"Sinton,TX",2017-2021,PIT
1,David Bednar,26.351,P,6-1,249,R,R,1994-10-10,"Valencia,PA",2019-2021,PIT
2,Steven Brault,29.187,P,6-0,195,L,L,1992-04-29,"El Cajon,CA",2016-2021,PIT
3,J.T. Brubaker,27.322,P,6-3,185,R,R,1993-11-17,"New Carlisle,OH",2020-2021,PIT
4,Trevor Cahill,33.246,P,6-4,223,R,R,1988-03-01,"Oceanside,CA",2009-2021,PIT
5,Blake Cederlind,25.293,P,6-4,215,R,R,1996-01-14,"Turlock,CA",2020-2020,PIT
6,Wil Crowe,26.276,P,6-2,228,R,R,1994-09-09,"Sevierville,TN",2020-2021,PIT
7,Eric Hanhold,28.001,P,6-5,220,R,R,1993-11-01,"Tarpon Springs,FL",2018-2021,PIT
8,Sam Howard,28.176,P,6-4,200,R,L,1993-03-05,"Cartersville,GA",2018-2021,PIT
9,Mitch Keller,25.116,P,6-2,205,R,R,1996-04-04,"Cedar Rapids,IA",2019-2021,PIT
10,Max Kranick,24.059,P,6-3,175,R,R,1997-07-21,"Scranton,PA",2021-2021,PIT
11,Chad Kuhl,28.344,p,6-3,215,R,R,1992-09-10,"Bear,DE",2016-2021,PIT
12,Nick Mears,25.194,P,6-2,215,R,R,1996-01-07,"Rocklin,CA",2020-2021,PIT
13,Luis Oviedo,22.143,P,6-4,170,R,R,1999-05-15,"Barquisimeto,VZ",2021-2021,PIT
14,Dillon Peters,29.063,P,5-9,195,L,L,1992-08-31,"Indianapolis,IN",2017-2021,PIT
15,Cody Ponce,27.134,P,6-5,255,R,R,1994-04-25,"Upland,CA",2020-2021,PIT
16,Chris Stratton,30.146,P,6-2,210,R,R,1990-08-22,"Tupelo,MS",2016-2021,PIT
17,Duane Underwood,27.106,P-1B-,6-2,210,R,R,1994-07-20,"Marietta,GA",2018-2021,PIT
18,Bryse Wilson,23.318,P,6-2,225,R,R,1997-12-20,"Durham,NC",2018-2021,PIT
19,Miguel Yajure,23.146,P,6-1,175,R,R,1998-05-01,"Cabimas,VZ",2020-2021,PIT
20,Jacob Stallings,31.28,C-P-1,6-5,220,R,R,1989-12-22,"Lawrence,KS",2016-2021,PIT
21,Diego Castillo,24.009,SS-2B,6-0,170,R,R,1997-10-28,"Barquisimeto,VZ",,PIT
22,Michael Chavis,26.048,1B-2B,5-10,210,R,R,1995-08-11,"Marietta,GA",2019-2021,PIT
23,Oneil Cruz,22.363,SS,6-7,210,L,R,1998-10-04,"Nizao,DR",2021-2021,PIT
24,Ke'Bryan Hayes,24.249,3B,5-10,205,R,R,1997-01-28,"Spring,TX",2020-2021,PIT
25,Colin Moran,28.309,3B-1B,6-4,200,L,R,1992-10-01,"Port Chester,NY",2016-2021,PIT
26,Kevin Newman,27.055,SS-2B,6-0,200,R,R,1993-08-04,"Poway,CA",2018-2021,PIT
27,Hoy Jun Park,25.145,2B-SS,6-1,175,L,R,1996-04-07,"Seoul,KR",2021-2021,PIT
28,Liover Peguero,20.322,SS,6-1,160,R,R,2000-12-31,"Higuey,DR",,PIT
29,Cole Tucker,25.055,SS-rf,6-3,205,B,R,1996-07-03,"Phoenix,AZ",2019-2021,PIT
30,Anthony Alford,27.034,LF-CF,6-1,210,R,R,1994-07-20,"Columbia,MS",2017-2021,PIT
31,Greg Allen,28.234,LF-CF,6-0,185,B,R,1993-03-15,"San Diego,CA",2017-2021,PIT
32,Ben Gamel,29.089,LF-RF,5-11,177,L,L,1992-05-17,"Neptune Beach,FL",2016-2021,PIT
33,Bryan Reynolds,25.218,CF-LF,6-3,205,B,R,1995-01-27,"Baltimore,MD",2019-2021,PIT
34,Canaan Smith,22.203,LF-RF,6-0,215,L,R,1999-04-30,"Dallas,TX",,PIT
35,Jack Suwinski,23.113,RF-LF,6-2,195,L,L,1998-07-29,"Chicago,IL",,PIT
36,Travis Swaggerty,24.092,CF,5-11,180,L,L,1997-08-19,"Covington,LA",,PIT
