,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Logan Allen,24.093,P,6-3,220,R,L,1997-05-23,"Bradenton,FL",2019-2021,CLE
1,Shane Bieber,26.116,P,6-3,200,R,R,1995-05-31,"Orange,CA",2018-2021,CLE
2,Aaron Civale,26.087,P,6-2,215,R,R,1995-06-12,"East Windsor,CT",2019-2021,CLE
3,Emmanuel Clase,22.197,P,6-2,206,R,R,1998-03-18,"Rio San Juan,DR",2019-2021,CLE
4,Sam Hentges,25.003,P,6-6,245,L,L,1996-07-18,"Shoreview,MN",2021-2021,CLE
5,James Karinchak,26.009,P,6-3,215,R,R,1995-09-22,"Walden,NY",2019-2021,CLE
6,Triston McKenzie,24.029,p,6-5,165,R,R,1997-08-02,"West Palm Beach,FL",2020-2021,CLE
7,Elijah Morgan,25.08,P,5-10,175,R,R,1996-05-13,"Ranchos Palos Verdes,cA",2021-2021,CLE
8,Cody Morris,25.014,P,6-5,222,R,R,1996-11-04,"Columbia,MD",,CLE
9,Konnor Pilkington,24.067,P,6-3,210,L,L,1997-09-12,"Pascagoula,MS",,CLE
10,Zach Plesac,26.169,P,6-3,220,R,R,1995-01-21,"Crown Point,IN",2019-2021,CLE
11,Cal Quantrill,25.202,P,6-3,195,L,R,1995-02-10,"Port Hope,ON",2019-2021,CLE
12,Nick Sandlin,24.296,P,5-11,148,R,R,1997-01-10,"Evans,GA",2021-2021,CLE
13,Trevor Stephan,25.015,P,6-4,210,R,R,1995-11-25,"Austin,TX",2021-2021,CLE
14,Carlos Vargas,22.021,P,6-3,180,R,R,1999-10-13,"Moca,DR",,CLE
15,Austin Hedges,28.31,C-3B-,6-1,223,R,R,1992-08-18,"San Juan Capistrano,CA",2015-2021,CLE
16,Bryan Lavastida,22.357,C,6-0,200,R,R,1998-11-27,---,,CLE
17,Wilson Ramos,34.085,C-DH,6-1,245,R,R,1987-08-10,"Valencia,VZ",2010-2021,CLE
18,Bobby Bradley,25.09,1B-DH,6-1,225,L,R,1996-05-29,"Gulfport,MS",2019-2021,CLE
19,Yu Chang,25.36,3B-1B,6-1,180,R,R,1995-08-18,"Taitung,TW",2019-2021,CLE
20,Tyler Freeman,22.182,SS-2B,6-0,165,R,R,1999-05-21,"Rancho Cucamonga,CA",,CLE
21,Andres Gimenez,22.337,SS-2b,5-11,161,L,R,1998-09-04,"Barquisimeto,VZ",2020-2021,CLE
22,Oscar Mercado,26.194,CF-LF,6-2,197,R,R,1994-12-16,"Tampa,FL",2019-2021,CLE
23,Owen Miller,24.323,2B-SS,6-0,190,R,R,1996-11-15,"Fredonia,WI",2021-2021,CLE
24,Jhonkensy Noel,20.127,1B-3B,6-1,180,R,R,2001-07-15,"San Pedro de Macoris,DR",,CLE
25,Richie Palacios,24.187,2B-CF,5-10,160,L,R,1997-05-16,"Brooklyn,NY",,CLE
26,Jose Ramirez,29.048,3B-DH,5-9,190,B,R,1992-09-17,"Bani,DR",2013-2021,CLE
27,Brayan Rocchio,20.31,SS-2B,5-10,150,B,R,2001-01-13,"Caracas,VZ",,CLE
28,Amed Rosario,25.308,SS-CF,6-2,190,R,R,1995-11-20,"Santo Domingo,DR",2017-2021,CLE
29,Jose Tena,20.243,SS-3B,5-9,159,L,R,2001-03-20,"San Cristobal,DR",,CLE
30,Anthony Gose,31.041,P,6-1,190,L,L,1990-08-10,"Bellflower,CA",2012-2021,CLE
31,Steven Kwan,24.074,CF-LF,5-8,165,L,L,1997-09-05,"Los Gatos,CA",,CLE
32,Josh Naylor,24.134,RF-LF,5-11,250,L,L,1997-06-22,"Mississauga,ON",2019-2021,CLE
33,Franmil Reyes,25.362,DH-RF,6-5,265,R,R,1995-07-05,"San Cristobal,DR",2018-2021,CLE
34,George Valera,21.005,RF-CF,5-10,160,L,L,2000-11-13,"Queens,NY",,CLE
35,Bradley Zimmer,28.181,CF-RF,6-5,220,L,R,1992-11-27,"La Jolla,CA",2017-2021,CLE
