,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Joan Adon,23.052,P,6-2,185,R,R,1998-08-12,"Santo Domingo,DR",2021-2021,WSH
1,Luis Avilan,32.107,P,6-2,165,L,L,1989-07-19,"Cabudare,VZ",2012-2021,WSH
2,Patrick Corbin,31.303,P,6-3,210,L,L,1989-07-19,"Clay,NY",2012-2021,WSH
3,Paolo Espino,34.129,P,5-10,190,R,R,1987-01-10,"Panama City,PN",2017-2021,WSH
4,Erick Fedde,28.131,P,6-4,200,R,R,1993-02-25,"Las Vegas,NV",2017-2021,WSH
5,Kyle Finnegan,29.364,P,6-2,200,R,R,1991-09-04,"Kingwood,TX",2020-2021,WSH
6,Josiah Gray,23.221,P,6-1,190,R,R,1997-12-21,"New Rochelle,NY",2021-2021,WSH
7,Ryne Harper,32.103,P,6-3,215,R,R,1989-03-27,"Clarksville,TN",2019-2021,WSH
8,Will Harris,37.066,P,6-4,240,R,R,1984-08-28,"Slidell,LA",2012-2021,WSH
9,Evan Lee,24.154,P,6-2,190,L,L,1997-06-18,"Bryant,AR",,WSH
10,Andres Machado,28.097,P,6-0,175,R,R,1993-04-22,"Carabobo,VZ",2017-2021,WSH
11,Patrick Murphy,26.075,P,6-5,235,R,R,1995-06-10,"Chandler,AZ",2020-2021,WSH
12,Francisco Perez,24.108,P,6-2,195,L,L,1997-07-20,"Loma de Cabrera,DR",2021-2021,WSH
13,Tanner Rainey,28.266,P,6-2,235,R,R,1992-12-25,"Folsom,LA",2018-2021,WSH
14,Josh Rogers,27.087,P,6-3,191,L,L,1994-07-10,"New Albany,IN",2018-2021,WSH
15,Jhon Romero,26.249,P,5-10,195,R,R,1995-01-17,"Cartagena,CB",2021-2021,WSH
16,Joe Ross,28.165,P,6-3,185,R,R,1993-05-21,"Oakland,CA",2015-2021,WSH
17,Stephen Strasburg,33.106,P,6-5,235,R,R,1988-07-20,"San Diego,CA",2010-2021,WSH
18,Austin Voth,29.056,P,6-2,210,R,R,1992-06-26,"Redmond,WA",2018-2021,WSH
19,Riley Adams,25.037,C,6-5,190,R,R,1996-06-26,"San Diego,CA",2021-2021,WSH
20,Keibert Ruiz,23.041,C,6-0,225,B,R,1998-07-20,"Valencia,VZ",2020-2021,WSH
21,Josh Bell,28.241,1B-DH,6-4,250,B,R,1992-08-14,"Irving,TX",2016-2021,WSH
22,Alcides Escobar,34.199,SS-3B,6-1,155,R,R,1986-12-16,"La Sabana,VZ",2008-2021,WSH
23,Mike Ford,29.049,1B-DH,6-0,225,L,R,1992-07-04,"Belle Mead,NJ",2019-2021,WSH
24,Luis Garcia,21.141,2B-SS,6-0,190,L,R,2000-05-16,"New York,NY",2020-2021,WSH
25,Carter Kieboom,23.324,3B-SS,6-2,210,R,R,1997-09-03,"Marietta,GA",2019-2021,WSH
26,Donovan Casey,25.269,RF-CF,6-2,190,R,R,1996-02-23,"Stratford,NJ",,WSH
27,Yadiel Hernandez,33.351,LF-RF,5-9,185,L,R,1987-10-09,"Matanzas,CU",2020-2021,WSH
28,Juan Soto,22.191,LF-rf,6-1,220,L,L,1998-10-25,"Santo Domingo,DR",2018-2021,WSH
29,Andrew Stevenson,27.091,CF-LF,6-0,192,L,L,1994-06-01,"Lafayette,LA",2017-2021,WSH
30,Lane Thomas,25.357,CF-LF,6-0,185,R,R,1995-08-23,"Knoxville,TN",2019-2021,WSH
