,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Sandy Alcantara,25.321,P,6-5,200,R,R,1995-09-07,"San Juan De La Maguana,DR",2017-2021,MIA
1,Anthony Bass,33.088,P,6-2,200,R,R,1987-11-01,"Dearborn,MI",2011-2021,MIA
2,Anthony Bender,26.09,P,6-4,205,R,R,1995-02-03,"Petaluma,CA",2021-2021,MIA
3,Richard Bleier,33.274,P,6-3,215,L,L,1987-04-16,"Davie,FL",2016-2021,MIA
4,Edward Cabrera,23.175,P,6-5,217,R,R,1998-04-13,"Santiago,DR",2021-2021,MIA
5,Paul Campbell,26.038,P,6-0,190,L,R,1995-07-26,"Malden,MA",2021-2021,MIA
6,Dylan Floro,30.047,P,6-2,203,L,R,1990-12-27,"Merced,CA",2016-2021,MIA
7,Sean Guenther,25.28,P,5-11,185,L,L,1995-12-29,"Atlanta,GA",2021-2021,MIA
8,Louis Head,31.205,P,5-11,185,R,R,1990-04-23,"Houston,TX",2021-2021,MIA
9,Elieser Hernandez,26.104,P,6-0,214,R,R,1995-05-03,"Ocumare del Tuy,VZ",2018-2021,MIA
10,Pablo Lopez,25.209,P,6-4,225,R,R,1996-03-07,"Cabimas,VZ",2018-2021,MIA
11,Jesus Luzardo,23.306,P,6-0,218,L,L,1997-09-30,"Parkland,FL",2019-2021,MIA
12,Steven Okert,29.355,P,6-2,210,L,L,1991-07-09,"Riverside,CA",2016-2021,MIA
13,Zach Pop,24.345,P,6-4,225,R,R,1996-09-20,"Brampton,ON",2021-2021,MIA
14,Cody Poteet,27.096,P,6-1,183,R,R,1994-07-30,"San Diego,CA",2021-2021,MIA
15,Trevor Rogers,23.292,P,6-5,217,L,L,1997-11-13,"Carlsbad,NM",2020-2021,MIA
16,Zach Thompson,27.225,P,6-6,185,R,R,1993-10-23,"Burleson,TX",2021-2021,MIA
17,Nick Fortes,24.31,C-DH,6-1,202,R,R,1996-11-11,"DeLand,FL",2021-2021,MIA
18,Payton Henry,24.085,C,6-2,215,R,R,1997-06-24,"Pleasant Grove,UT",2021-2021,MIA
19,Alex Jackson,25.217,C-RF,6-2,215,R,R,1995-12-25,"Escondido,CA",2019-2021,MIA
20,Jesus Aguilar,31.126,1B-DH,6-3,277,R,R,1990-06-30,"Maracay,VZ",2014-2021,MIA
21,Jorge Alfaro,28.145,C-LF-,6-3,230,R,R,1993-06-11,"Sincelejo,CB",2016-2021,MIA
22,Brian Anderson,28.168,3B-RF,6-3,208,R,R,1993-05-19,"Edmond,OK",2017-2021,MIA
23,Jon Berti,31.285,3B-2b,5-10,190,R,R,1990-01-22,"Troy,MI",2018-2021,MIA
24,Jazz Chisholm,23.193,SS-2b,5-11,184,L,R,1998-02-01,"Nassau,BM",2020-2021,MIA
25,Jose Devers,21.331,SS-2B,6-0,155,L,R,1999-12-07,"Samana,DR",2021-2021,MIA
26,Lewin Diaz,24.292,1B-LF,6-4,217,L,L,1996-11-19,"Santiago,DR",2020-2021,MIA
27,Miguel Rojas,32.113,SS-1B,6-0,188,R,R,1989-02-24,"Los Teques,VZ",2014-2021,MIA
28,Lewis Brinson,27.072,CF-LF,6-5,212,R,R,1994-05-08,"Tamarac,FL",2017-2021,MIA
29,Garrett Cooper,30.313,1B-RF,6-5,235,R,R,1990-12-25,"Manhattan Beach,CA",2017-2021,MIA
30,Bryan De la Cruz,24.226,RF-LF,6-2,175,R,R,1996-12-16,"Santo Domingo,DR",2021-2021,MIA
31,Jesus Sanchez,24.027,RF-LF,6-3,222,L,R,1997-10-07,"Higuey,DR",2020-2021,MIA
