,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Tyler Alexander,25.05,P,6-2,200,R,L,1994-07-14,"Southlake,TX",2019-2021,DET
1,Matt Boyd,30.245,P,6-3,234,L,L,1991-02-02,"Mercer Island,WA",2015-2021,DET
2,Jose Cisnero,32.177,P,6-3,245,R,R,1989-04-11,"Santo Domingo,DR",2013-2021,DET
3,Angel De Jesus,24.279,P,6-4,185,R,R,1997-02-13,"Samana,DR",,DET
4,Miguel Del Pozo,29.019,P,6-1,180,L,L,1992-10-14,"Santo Domingo,DR",2019-2021,DET
5,Alex Faedo,25.356,P,6-4,220,R,R,1995-11-12,"Tampa,FL",,DET
6,Jason Foley,25.317,P,6-4,200,R,R,1995-11-01,"North Bellmore,NY",2021-2021,DET
7,Michael Fulmer,28.134,p,6-3,246,R,R,1993-03-15,"Oklahoma City,OK",2016-2021,DET
8,Kyle Funkhouser,27.051,P,6-3,225,R,R,1994-03-16,"Palos Heights,IL",2020-2021,DET
9,Bryan Garcia,26.141,P,6-1,215,R,R,1995-04-19,"Miami,FL",2019-2021,DET
10,Rony Garcia,23.319,P,6-3,200,R,R,1997-12-19,"Mao,DR",2020-2021,DET
11,Joe Jimenez,26.248,P,6-3,272,R,R,1995-01-17,"Bayamon,PR",2017-2021,DET
12,Alex Lange,25.324,P,6-3,198,R,R,1995-10-02,"Lees Summit,MO",2021-2021,DET
13,Matt Manning,23.174,P,6-3,185,R,R,1998-01-28,"Elk Grove,CA",2021-2021,DET
14,Casey Mize,23.11,P,6-3,220,R,R,1997-05-01,"Springville,AL",2020-2021,DET
15,Eduardo Rodriguez,28.223,P,6-2,231,L,L,1993-04-07,"Valencia,VZ",2015-2021,DET
16,Elvin Rodriguez,23.221,P,6-3,160,R,R,1998-03-31,"San Cristobal,DR",,DET
17,Tarik Skubal,23.271,P,6-3,215,L,L,1996-11-20,"Kingman,AZ",2020-2021,DET
18,Gregory Soto,26.236,P,6-1,236,L,L,1995-02-11,"Haina,DR",2019-2021,DET
19,Julio Teheran,30.28,P,6-2,150,R,R,1991-01-27,"Cartagena,CB",2011-2021,DET
20,Spencer Turnbull,29.045,P,6-3,211,R,R,1992-09-18,"Demopolis,AL",2018-2021,DET
21,Tucker Barnhart,30.3,C-1B,5-11,192,B,R,1991-01-07,"Brownsburg,IN",2014-2021,DET
22,Eric Haase,28.252,C-LF-,5-10,210,R,R,1992-12-18,"Westland,MI",2018-2021,DET
23,Jake Rogers,26.2,C-DH-,6-1,192,R,R,1995-04-18,"Canyon,TX",2019-2021,DET
24,Jeimer Candelario,27.203,3B-1B,6-1,221,B,R,1993-11-24,"New York,NY",2016-2021,DET
25,Harold Castro,26.292,2B-SS,5-10,151,L,R,1993-11-30,"Caracas,VZ",2018-2021,DET
26,Willi Castro,24.089,SS-2B,6-1,170,B,R,1997-04-24,"Rio Piedras,PR",2019-2021,DET
27,Kody Clemens,25.187,2B-RF,6-1,170,L,R,1996-05-15,"Houston,TX",,DET
28,Isaac Paredes,22.214,3B-SS,5-11,213,R,R,1999-02-18,"Hermosillo,MX",2020-2021,DET
29,Jonathan Schoop,29.122,2B-1B,6-1,225,R,R,1991-10-06,"Willemstad,CC",2013-2021,DET
30,Zack Short,26.12,SS-2B,5-10,180,R,R,1995-05-29,"Hurley,NY",2021-2021,DET
31,Akil Baddoo,23.008,CF-LF,5-11,185,L,L,1998-08-16,"Silver Spring,MD",2021-2021,DET
32,Daz Cameron,24.246,CF-RF,6-2,185,R,R,1997-01-15,"McDonough,GA",2020-2021,DET
33,Robbie Grossman,31.112,LF-RF,6-0,216,B,L,1989-09-16,"Cypress,TX",2013-2021,DET
34,Derek Hill,25.279,CF-RF,6-2,190,R,R,1995-12-30,"Des Moines,IA",2020-2021,DET
35,Victor Reyes,27.0,CF-RF,6-5,194,L,R,1994-10-05,"Barcelona,VZ",2018-2021,DET
36,Miguel Cabrera,38.007,DH-1B,6-4,249,R,R,1983-04-18,"Maracay,VZ",2003-2021,DET
