,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,AJ Alexy,23.131,P,6-4,195,R,R,1998-04-21,"Honey Brook,PA",2021-2021,TEX
1,Kolby Allard,23.231,P,6-1,195,L,L,1997-08-13,"San Clemente,CA",2018-2021,TEX
2,Joe Barlow,25.336,P,6-3,195,R,R,1995-09-28,"Riverton,UT",2021-2021,TEX
3,Dane Dunning,26.264,p,6-4,225,R,R,1994-12-20,"Orange Park,FL",2020-2021,TEX
4,Taylor Hearn,25.345,P,6-6,230,L,L,1994-08-30,"Royse City,TX",2019-2021,TEX
5,Ronny Henriquez,21.151,P,5-10,155,R,R,2000-06-20,"Bonao,DR",,TEX
6,Jonathan Hernandez,25.119,P,6-3,190,R,R,1996-07-06,"Maracay,VZ",2019-2020,TEX
7,Spencer Howard,25.04,P,6-3,210,R,R,1996-07-28,"Templeton,CA",2020-2021,TEX
8,John King,27.05,P,6-2,215,L,L,1994-09-14,"Missouri City,TX",2020-2021,TEX
9,Jose Leclerc,27.319,P,6-0,195,R,R,1993-12-19,"Esperanza,DR",2016-2020,TEX
10,Brett Martin,25.346,P,6-4,200,L,L,1995-04-28,"Morristown,TN",2019-2021,TEX
11,Spencer Patton,33.109,P,6-2,180,R,R,1988-02-20,"Kinmundy,IL",2014-2021,TEX
12,Nolan Ryan,41.311,P,6-2,195,R,R,1947-01-31,"Refugio,TX",1966-1993,TEX
13,Josh Sborz,27.225,P,6-3,215,R,R,1993-12-17,"McLean,VA",2019-2021,TEX
14,Nick Snyder,26.024,P,6-4,190,R,R,1995-10-10,"Plant City,FL",2021-2021,TEX
15,Ricky Vanasco,23.037,P,6-3,180,R,R,1998-10-13,"Morriston,FL",,TEX
16,Jonah Heim,26.065,C-dh,6-4,220,B,R,1995-06-27,"Amherst,NY",2020-2021,TEX
17,Jose Trevino,28.237,C-dh-,5-11,210,R,R,1992-11-28,"Corpus Christi,TX",2018-2021,TEX
18,Ezequiel Duran,22.181,2B-SS,5-11,185,R,R,1999-05-22,"San Juan De La Maguana,DR",,TEX
19,Yonny Hernandez,23.093,2B-SS,5-9,140,B,R,1998-05-04,"Maturin,VZ",2021-2021,TEX
20,Andy Ibanez,28.166,2B-3B,5-9,183,R,R,1993-04-03,"Nueva Gerona,CU",2021-2021,TEX
21,Isiah Kiner-Falefa,25.298,SS-3B,5-11,190,R,R,1995-03-23,"Honolulu,HI",2018-2021,TEX
22,Nate Lowe,25.156,1B-DH,6-4,220,L,R,1995-07-07,"Chesapeake,VA",2019-2021,TEX
23,Dennis Santana,25.081,P,6-2,190,R,R,1996-04-12,"San Pedro de Macoris,DR",2018-2021,TEX
24,Nick Solak,26.221,2B-LF,5-11,185,R,R,1995-01-11,"Woodridge,IL",2019-2021,TEX
25,Willie Calhoun,26.315,LF-DH,5-8,200,L,R,1994-11-04,"Vallejo,CA",2017-2021,TEX
26,Adolis Garcia,28.042,RF-CF,6-1,205,R,R,1993-03-02,"Ciego De Avila,CU",2018-2021,TEX
27,Billy McKinney,27.091,RF-LF,6-1,205,L,L,1994-08-23,"Plano,TX",2018-2021,TEX
28,DJ Peters,25.233,CF-RF,6-6,225,R,R,1995-12-12,"Glendora,CA",2021-2021,TEX
29,Zach Reks,28.009,LF-RF,6-2,195,L,R,1993-11-12,"Orland Park,IL",2021-2021,TEX
30,Leody Taveras,22.35,CF-RF,6-2,195,B,R,1998-09-08,"Tenares,DR",2020-2021,TEX
31,Eli White,27.13,SS-CF,6-3,195,R,R,1994-06-26,"Greenville,SC",2020-2021,TEX
