,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Ian Anderson,23.119,P,6-3,170,R,R,1998-05-02,"Clifton Park,NY",2020-2021,ATL
1,Tucker Davidson,25.215,P,6-2,215,L,L,1996-03-25,"Amarillo,TX",2020-2021,ATL
2,Max Fried,27.163,P,6-4,190,L,L,1994-01-18,"Van Nuys,CA",2017-2021,ATL
3,Jay Jackson,34.026,P,6-1,195,R,R,1987-10-27,"Greenville,SC",2015-2021,ATL
4,Luke Jackson,30.026,P,6-2,210,R,R,1991-08-24,"Ormond Beach,FL",2015-2021,ATL
5,Dylan Lee,27.061,P,6-4,210,L,L,1994-08-01,"Dinuba,CA",2021-2021,ATL
6,Tyler Matzek,29.277,P,6-3,230,L,L,1990-10-19,"Mission Viejo,CA",2014-2021,ATL
7,AJ Minter,27.342,P,6-0,215,L,L,1993-09-02,"Whitehouse,TX",2017-2021,ATL
8,Charlie Morton,37.356,P,6-5,215,R,R,1983-11-12,"Flemington,NJ",2008-2021,ATL
9,Alan Rangel,24.077,P,6-2,170,R,R,1997-08-21,"Hermosillo,MX",,ATL
10,Richard Rodriguez,31.148,P,6-4,218,R,R,1990-03-04,"Santiago,DR",2017-2021,ATL
11,Will Smith,31.027,P,6-5,255,L,L,1989-07-10,"Newnan,GA",2012-2021,ATL
12,Mike Soroka,24.09,P,6-5,225,R,R,1997-08-04,"Calgary,AB",2018-2020,ATL
13,Spencer Strider,22.338,P,6-0,195,R,R,1998-10-28,"Columbus,OH",2021-2021,ATL
14,Freddy Tarnok,22.359,P,6-3,185,R,R,1998-11-24,"Brandon,FL",,ATL
15,Touki Toussaint,25.107,P,6-3,215,R,R,1996-06-20,"Coral Springs,FL",2018-2021,ATL
16,Jacob Webb,28.017,P,6-2,210,R,R,1993-08-15,"Riverside,CA",2019-2021,ATL
17,Brooks Wilson,25.247,P,6-2,205,L,R,1996-03-15,"Lakeland,FL",,ATL
18,William Woods,22.324,P,6-3,190,R,R,1998-12-29,"Trenton,TN",,ATL
19,Huascar Ynoa,23.081,P,6-2,220,R,R,1998-05-28,"Puerto Plata,DR",2019-2021,ATL
20,William Contreras,23.26,C,6-0,180,R,R,1997-12-24,"Puerto Cabello,VZ",2020-2021,ATL
21,Travis D'Arnaud,32.195,C-1B-,6-2,210,R,R,1989-02-10,"Lakewood,CA",2013-2021,ATL
22,Manny Pina,34.164,C-3B,6-0,222,R,R,1987-06-05,"Barquisimeto,VZ",2011-2021,ATL
23,Ozzie Albies,23.245,2B,5-8,165,B,R,1997-01-07,"Willemstad,CC",2017-2021,ATL
24,Orlando Arcia,27.049,SS-LF,6-0,187,R,R,1994-08-04,"Anaco,VZ",2016-2021,ATL
25,Travis Demeritte,27.037,RF-LF,6-0,180,R,R,1994-09-30,"Statham,GA",2019-2020,ATL
26,Austin Riley,22.156,3B-LF,6-3,240,R,R,1997-04-02,"Southaven,MS",2019-2021,ATL
27,Dansby Swanson,27.005,SS,6-1,190,R,R,1994-02-11,"Marietta,GA",2016-2021,ATL
28,Ronald Acuna,23.32,RF-CF,6-0,205,R,R,1997-12-18,"La Guaira,VZ",2018-2021,ATL
29,Adam Duvall,32.329,LF-RF,6-1,215,R,R,1988-09-04,"Louisville,KY",2014-2021,ATL
30,Guillermo Heredia,30.104,CF-LF,5-10,195,R,L,1991-01-31,"Matanzas,CU",2016-2021,ATL
31,Marcell Ozuna,30.356,LF-dh,6-1,225,R,R,1990-11-12,"Santo Domingo,DR",2013-2021,ATL
32,Cristian Pache,22.327,CF-RF,6-2,215,R,R,1998-11-19,"Santo Domingo,DR",2020-2021,ATL
33,Drew Waters,22.323,LF-CF,6-2,185,B,R,1998-12-30,"Woodstock,GA",,ATL
