,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Jose Berrios,27.173,P,6-0,205,R,R,1994-05-27,"Bayamon,PR",2016-2021,TOR
1,Adam Cimber,30.318,P,6-3,195,R,R,1990-08-15,"Edgewood,WA",2018-2021,TOR
2,Bowden Francis,25.21,P,6-5,235,R,R,1996-04-22,"Tallahassee,FL",,TOR
3,Thomas Hatch,27.006,P,6-1,205,R,R,1994-09-29,"Tulsa,OK",2020-2021,TOR
4,Zach Logue,25.209,P,6-0,185,L,L,1996-04-23,"Cincinnati,OH",,TOR
5,Alek Manoah,23.225,P,6-6,260,R,R,1998-01-09,"Miami,FL",2021-2021,TOR
6,Tim Mayza,29.215,P,6-3,205,L,L,1992-01-15,"Pennsburg,PA",2017-2021,TOR
7,Julian Merryweather,29.329,P,6-4,215,R,R,1991-10-14,"Berkeley,CA",2020-2021,TOR
8,Nate Pearson,25.011,P,6-6,250,R,R,1996-08-20,"Oldsmar,FL",2020-2021,TOR
9,David Phelps,35.025,P,6-2,198,R,R,1986-10-09,"St. Louis,MO",2012-2021,TOR
10,Trevor Richards,28.051,P,6-2,195,R,R,1993-05-15,"Aviston,IL",2018-2021,TOR
11,Jordan Romano,28.002,P,6-5,225,R,R,1993-04-21,"Markham,ON",2019-2021,TOR
12,Hyun-Jin Ryu,34.187,P,6-3,255,L,L,1987-03-25,"Inchoen,KR",2013-2021,TOR
13,Ross Stripling,31.291,P,6-3,220,R,R,1989-11-23,"Blue Bell,PA",2016-2021,TOR
14,Kirby Yates,34.223,P,5-10,205,L,R,1987-03-25,"Koloa,HI",2014-2020,TOR
15,Hagen Danner,23.05,P-C-1,6-2,195,R,R,1998-09-30,"Huntington Beach,CA",,TOR
16,Danny Jansen,26.138,C-DH,6-2,225,R,R,1995-04-15,"Appleton,WI",2018-2021,TOR
17,Alejandro Kirk,22.259,C-dh,5-8,265,R,R,1998-11-06,"Tijuana,MX",2020-2021,TOR
18,Reese McGuire,26.064,C-DH,6-0,215,L,R,1995-03-02,"Covington,WA",2018-2021,TOR
19,Bo Bichette,22.191,SS-DH,6-0,185,R,R,1998-03-05,"Orlando,FL",2019-2021,TOR
20,Cavan Biggio,26.17,2B-3B,6-2,200,L,R,1995-04-11,"Houston,TX",2019-2021,TOR
21,Santiago Espinal,26.315,3B-2B,5-10,181,R,R,1994-11-13,"Longwood,FL",2020-2021,TOR
22,Lourdes Gurriel,27.175,LF-DH,6-4,215,R,R,1993-10-19,"Sancti Spiritus,CU",2018-2021,TOR
23,Leonardo Jimenez,20.185,SS-2B,5-11,160,R,R,2001-05-17,"Chitre,PN",,TOR
24,Randal Grichuk,27.235,CF-RF,6-2,216,R,R,1991-08-13,"Rosenberg,TX",2014-2021,TOR
25,Vladimir Guerrero,20.04,1b-3B,6-2,250,R,R,1999-03-16,"Montreal,QC",2019-2021,TOR
26,Teoscar Hernandez,28.248,rf-LF,6-2,205,R,R,1992-10-15,"Cotui,DR",2016-2021,TOR
27,George Springer,31.345,CF-RF,6-3,221,R,R,1989-09-19,"New Britain,CT",2014-2021,TOR
28,Breyvic Valera,29.052,2B-3B,5-11,160,B,R,1992-08-01,"David,PN",2017-2021,TOR
