,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Aaron Ashby,23.09,P,6-1,170,R,L,1998-05-24,"Kansas City,MO",2021-2021,MIL
1,John Axford,38.217,P,6-5,185,R,R,1983-04-01,"Simcoe,ON",2009-2021,MIL
2,Corbin Burnes,26.203,P,6-3,225,R,R,1994-10-22,"Bakersfield,CA",2018-2021,MIL
3,Jake Cousins,27.086,P,6-4,180,R,R,1994-07-14,"St. Charles,IL",2021-2021,MIL
4,John Curtiss,28.212,P,6-5,220,R,R,1993-04-05,"Dallas,TX",2017-2021,MIL
5,Trevor Gott,29.068,P,5-10,182,R,R,1992-08-26,"Lexington,KY",2015-2020,MIL
6,Jandel Gustave,28.326,P,6-2,160,R,R,1992-10-12,"Pimentel,DR",2016-2021,MIL
7,Josh Hader,27.127,P,6-3,180,L,L,1994-04-07,"Millersville,MD",2017-2021,MIL
8,Adrian Houser,28.2,P,6-3,222,R,R,1993-02-02,"Locust Grove,OK",2015-2021,MIL
9,Eric Lauer,26.073,P,6-3,228,R,L,1995-06-03,"Grafton,OH",2018-2021,MIL
10,Jean Carlos Mejia,25.087,P,6-5,240,R,R,1996-08-26,"Gaspar Hernandez,DR",2021-2021,MIL
11,Hoby Milner,30.27,P,6-3,165,L,L,1991-01-13,"Dallas,TX",2017-2021,MIL
12,Freddy Peralta,25.09,P,5-11,199,R,R,1996-06-04,"Moca,DR",2018-2021,MIL
13,Angel Perdomo,27.18,P,6-8,265,L,L,1994-05-07,"San Cristobal,DR",2020-2021,MIL
14,Miguel Sanchez,27.286,P,6-3,190,R,R,1993-12-31,"Bonao,DR",2021-2021,MIL
15,Brent Suter,31.255,P,6-4,213,L,L,1989-08-29,"Cincinnati,OH",2016-2021,MIL
16,Justin Topa,30.241,P,6-4,200,R,R,1991-03-07,"Binghamton,NY",2020-2021,MIL
17,Devin Williams,27.016,P,6-2,200,R,R,1994-09-21,"Florissant,MO",2019-2021,MIL
18,Brandon Woodruff,27.339,P,6-4,243,R,R,1993-02-10,"Tupelo,MS",2017-2021,MIL
19,Omar Narvaez,29.092,C-DH-,5-11,220,B,R,1992-02-10,"Maracay,VZ",2016-2021,MIL
20,Willy Adames,26.018,SS-DH,6-0,210,R,R,1995-09-02,"Santiago,DR",2018-2021,MIL
21,Keston Hiura,25.071,2B-1B,6-0,202,R,R,1996-08-02,"Valencia,CA",2019-2021,MIL
22,Jace Peterson,31.085,3B-1B,6-0,215,L,R,1990-05-09,"Lake Charles,LA",2014-2021,MIL
23,Rowdy Tellez,26.2,1B-DH,6-4,255,L,L,1995-03-16,"Elk Grove,CA",2018-2021,MIL
24,Luis Urias,23.068,SS-3B,5-9,186,R,R,1997-06-03,"Magdalena de Kino,MX",2018-2021,MIL
25,Dan Vogelbach,28.257,1B-DH,6-0,270,L,R,1992-12-17,"North Fort Myers,FL",2016-2021,MIL
26,Kolten Wong,30.331,2B,5-7,185,L,R,1990-10-10,"Hilo,HI",2013-2021,MIL
27,Jackie Bradley,31.2,CF-RF,5-10,196,L,R,1990-04-19,"Prince George,VA",2013-2021,MIL
28,Lorenzo Cain,35.105,CF,6-2,165,R,R,1986-04-13,"Valdosta,GA",2010-2021,MIL
29,Tyrone Taylor,27.242,RF-CF,6-0,194,R,R,1994-01-22,"Torrance,CA",2019-2021,MIL
30,Christian Yelich,29.245,LF-RF,6-3,195,L,R,1991-12-05,"Thousand Oaks,CA",2013-2021,MIL
