,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Matt Barnes,31.092,P,6-4,208,R,R,1990-06-17,"Bethel,CT",2014-2021,BOS
1,Eduard Bazardo,26.042,P,6-0,156,R,R,1995-09-01,"Maracay,VZ",2021-2021,BOS
2,Brayan Bello,22.186,P,6-1,170,R,R,1999-05-17,"Samana,DR",,BOS
3,Ryan Brasier,34.026,P,6-0,227,R,R,1987-08-26,"Wichita Falls,TX",2013-2021,BOS
4,Kutter Crawford,25.231,P,6-1,192,R,R,1996-04-01,"Okeechobee,FL",2021-2021,BOS
5,Austin Davis,28.222,P,6-4,225,L,L,1993-02-03,"Scottsdale,AZ",2018-2021,BOS
6,Nathan Eovaldi,30.211,P,6-2,217,R,R,1990-02-13,"Alvin,TX",2011-2021,BOS
7,Darwinzon Hernandez,24.266,P,6-2,255,L,L,1996-12-17,"Ciudad Bolivar,VZ",2019-2021,BOS
8,Tanner Houck,25.055,P,6-5,230,R,R,1996-06-29,"Collinsville,IL",2020-2021,BOS
9,Bryan Mata,22.184,P,6-3,160,R,R,1999-05-03,"Maracay,VZ",,BOS
10,Nick Pivetta,28.21,P,6-5,214,R,R,1993-02-14,"Victoria,BC",2017-2021,BOS
11,Chris Sale,32.17,P,6-6,183,L,L,1989-03-30,"Lakeland,FL",2010-2021,BOS
12,Hirokazu Sawamura,33.162,P,6-0,212,R,R,1988-04-03,"Tochigi,JP",2021-2021,BOS
13,Josh Taylor,28.246,P,6-5,245,L,L,1993-03-02,"Phoenix,AZ",2019-2021,BOS
14,Phillips Valdez,29.352,P,6-2,160,R,R,1991-11-16,"San Pedro de Macoris,DR",2019-2021,BOS
15,Garrett Whitlock,25.113,P,6-4,181,R,R,1996-06-11,"Snellville,GA",2021-2021,BOS
16,Josh Winckowski,23.144,P,6-4,202,R,R,1998-06-28,"Fort Myers,FL",,BOS
17,Kevin Plawecki,30.133,C-DH-,6-2,208,R,R,1991-02-26,"Hinsdale,IL",2015-2021,BOS
18,Christian Vazquez,31.078,C-DH-,5-9,205,R,R,1990-08-21,"Bayamon,PR",2014-2021,BOS
19,Christian Arroyo,26.114,2B-3B,6-1,210,R,R,1995-05-30,"Brooksville,FL",2017-2021,BOS
20,Xander Bogaerts,28.344,SS-DH,6-2,218,R,R,1992-10-01,"San Nicolas,AA",2013-2021,BOS
21,Bobby Dalbec,25.062,1B-3B,6-4,227,R,R,1995-06-29,"Seattle,WA",2020-2021,BOS
22,Rafael Devers,24.082,3B-DH,6-0,240,L,R,1996-10-24,"Sanchez,DR",2017-2021,BOS
23,Jeter Downs,23.115,SS-2B,5-11,180,R,R,1998-07-27,"Miami Gardens,FL",,BOS
24,Enrique Hernandez,30.014,2B-CF,5-11,190,R,R,1991-08-24,"Toa Baja,PR",2014-2021,BOS
25,Tim Locastro,29.113,CF-LF,6-1,195,R,R,1992-07-14,"Auburn,NY",2017-2021,BOS
26,Hunter Renfroe,29.215,RF-LF,6-1,230,R,R,1992-01-28,"Jackson,MS",2016-2021,BOS
27,Alex Verdugo,25.089,LF-CF,6-0,192,L,L,1996-05-15,"Tucson,AZ",2017-2021,BOS
28,JD Martinez,33.352,DH-LF,6-3,230,R,R,1987-08-21,"Pembroke Pines,FL",2011-2021,BOS
