,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Jose Butto,23.245,P,6-1,152,R,R,1998-03-19,"Cumana,VZ",,NYM
1,Carlos Carrasco,34.131,P,6-4,224,R,R,1987-03-21,"Barquisimeto,VZ",2009-2021,NYM
2,Miguel Castro,26.222,p,6-7,205,R,R,1994-12-24,"La Romana,DR",2015-2021,NYM
3,Jacob DeGrom,33.136,P,6-4,180,L,R,1988-06-19,"DeLand,FL",2014-2021,NYM
4,Edwin Diaz,27.137,P,6-3,165,R,R,1994-03-22,"Naguabo,PR",2016-2021,NYM
5,Robert Gsellman,28.075,P,6-4,200,R,R,1993-07-18,"Santa Monica,CA",2016-2021,NYM
6,Joey Lucchesi,28.15,P,6-5,225,L,L,1993-06-06,"Newark,CA",2018-2021,NYM
7,Seth Lugo,31.195,P,6-4,225,R,R,1989-11-17,"Bossier City,LA",2016-2021,NYM
8,Trevor May,31.07,P,6-5,240,R,R,1989-09-23,"Kelso,WA",2014-2021,NYM
9,Steve Nogosek,26.296,P,6-1,172,R,R,1995-01-11,"Roseville,CA",2019-2021,NYM
10,Adam Oller,27.033,P,6-2,205,R,R,1994-10-17,"Conroe,TX",,NYM
11,David Peterson,26.061,P,6-6,240,L,L,1995-09-03,"Denver,CO",2020-2021,NYM
12,Antonio Santos,25.048,P,6-3,223,R,R,1996-10-06,"Villa Gonzalez,DR",2020-2021,NYM
13,Drew Smith,28.01,p,6-2,190,R,R,1993-09-24,"Crowley,TX",2018-2021,NYM
14,Thomas Szapucki,25.143,P,6-2,181,R,L,1996-06-12,"West Palm Beach,FL",2021-2021,NYM
15,Taijuan Walker,28.288,P,6-4,235,R,R,1992-08-13,"Yucaipa,CA",2013-2021,NYM
16,Trevor Williams,29.112,P,6-3,235,R,R,1992-04-25,"San Diego,CA",2016-2021,NYM
17,Patrick Mazeika,27.35,C-1B-,6-3,210,L,R,1993-10-14,"Springfield,MA",2021-2021,NYM
18,James McCann,31.083,C-DH-,6-3,220,B,R,1990-06-13,"Santa Barbara,CA",2014-2021,NYM
19,Tomas Nido,27.176,C-3B,6-0,211,R,R,1994-04-12,"Oviedo,FL",2017-2021,NYM
20,Pete Alonso,26.175,1B-DH,6-3,245,R,R,1994-12-07,"Tampa,FL",2019-2021,NYM
21,JD Davis,28.161,3B-LF,6-3,218,R,R,1993-04-27,"Burbank,CA",2017-2021,NYM
22,Luis Guillorme,26.338,2B-3B,5-10,190,L,R,1994-09-27,"Davie,FL",2018-2021,NYM
23,Francisco Lindor,27.283,SS-DH,5-11,190,B,R,1993-11-14,"Caguas,PR",2015-2021,NYM
24,Ronny Mauricio,20.229,SS,6-3,166,B,R,2001-04-04,"San Pedro de Macoris,DR",,NYM
25,Jeff McNeil,29.073,2B-LF,6-1,195,L,R,1992-04-08,"Santa Barbara,CA",2018-2021,NYM
26,Dominic Smith,26.083,LF-1B,6-0,239,L,L,1995-06-15,"Los Angeles,CA",2017-2021,NYM
27,Mark Vientos,21.343,3B-LF,6-4,185,R,R,1999-12-11,"Pembroke Pines,FL",,NYM
28,Brandon Nimmo,28.173,CF-LF,6-3,206,L,R,1993-03-27,"Cheyenne,WY",2016-2021,NYM
29,Nick Plummer,25.115,LF-CF,5-10,200,L,L,1996-07-31,"Bloomfield Hills,MI",,NYM
