,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Daniel Bard,35.173,p,6-4,197,R,R,1985-06-25,"Charlotte,NC",2009-2021,COL
1,Jhoulys Chacin,33.31,P,6-1,168,R,R,1988-01-07,"Maracaibo,VZ",2009-2021,COL
2,Noah Davis,24.211,P,6-2,180,R,R,1997-04-22,"Newport Beach,CA",,COL
3,Carlos Estevez,28.145,P,6-6,277,R,R,1992-12-28,"Santo Domingo,DR",2016-2021,COL
4,Julian Fernandez,25.27,P,6-2,160,R,R,1995-12-05,"Boca Chica,DR",2021-2021,COL
5,Kyle Freeland,28.01,P-RF,6-4,204,L,L,1993-05-14,"Denver,CO",2017-2021,COL
6,Lucas Gilbreath,25.091,P,6-1,185,L,L,1996-03-05,"Westminster,CO",2021-2021,COL
7,Austin Gomber,27.345,P,6-5,220,L,L,1993-11-23,"Winter Garden,FL",2018-2021,COL
8,Ashton Goudeau,29.041,P,6-6,210,R,R,1992-07-23,"Bossier City,LA",2020-2021,COL
9,Tyler Kinley,28.311,P,6-4,220,R,R,1991-01-31,"Plantation,FL",2018-2021,COL
10,Justin Lawrence,26.312,P,6-3,213,R,R,1994-11-25,"Jacksonville,FL",2021-2021,COL
11,German Marquez,24.219,P,6-1,230,R,R,1995-02-22,"San Felix,VZ",2016-2021,COL
12,Scott Oberg,31.235,P,6-2,207,R,R,1990-03-13,"Tewksbury,MA",2015-2019,COL
13,Helcris Olivarez,20.104,P,6-2,192,L,L,2000-08-08,"San Francisco de Macoris,DR",,COL
14,Ryan Rolison,24.131,P,6-2,195,R,L,1997-07-11,"Jackson,TN",,COL
15,Antonio Senzatela,26.26,P,6-1,236,R,R,1995-01-21,"Caracas,VZ",2017-2021,COL
16,Jordan Sheffield,26.095,P,5-11,162,R,R,1995-06-01,"Tullahoma,TN",2021-2021,COL
17,Robert Stephenson,28.199,P,6-3,205,R,R,1993-02-24,"Martinez,CA",2016-2021,COL
18,Elias Diaz,31.001,C-dh,6-1,223,R,R,1990-11-17,"Maracaibo,VZ",2015-2021,COL
19,CJ Cron,31.276,1B-DH,6-4,235,R,R,1990-01-05,"Phoenix,AZ",2014-2021,COL
20,Garrett Hampson,24.256,CF-2B,5-11,196,R,R,1994-10-10,"Reno,NV",2018-2021,COL
21,Connor Joe,29.078,1B-LF,6-0,205,R,R,1992-08-16,"San Diego,CA",2019-2021,COL
22,Ryan McMahon,26.032,2B-3B,6-2,219,L,R,1994-12-14,"Yorba Linda,CA",2017-2021,COL
23,Dom Nunez,25.254,C-1B,6-1,212,L,R,1995-01-17,"Elk Grove,CA",2019-2021,COL
24,Chris Owings,30.084,2B-SS,5-10,185,R,R,1991-08-12,"Leesville,SC",2013-2021,COL
25,Brendan Rodgers,24.284,2B-SS,6-0,204,R,R,1996-08-09,"Lake Mary,FL",2019-2021,COL
26,Ezequiel Tovar,20.109,SS-2B,6-0,162,B,R,2001-08-01,"Maracay,VZ",,COL
27,Colton Welker,23.334,3B-1B,6-0,205,R,R,1997-10-09,"Coral Springs,FL",2021-2021,COL
28,Charlie Blackmon,34.022,RF-DH,6-3,221,L,L,1986-07-01,"Suwanee,GA",2011-2021,COL
29,Yonathan Daza,27.193,CF-RF,6-2,207,R,R,1994-02-28,"Maracay,VZ",2019-2021,COL
30,Sam Hilliard,27.145,CF-RF,6-5,236,L,L,1994-02-21,"Arlington,TX",2019-2021,COL
31,Raimel Tapia,27.207,LF-CF,6-3,175,L,L,1994-02-04,"San Pedro de Macoris,DR",2016-2021,COL
