,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Matt Brash,23.139,P,6-1,170,R,R,1998-05-12,"Kingston,ON",,SEA
1,Diego Castillo,27.229,P,6-3,250,R,R,1994-01-18,"Cabrera,DR",2018-2021,SEA
2,Chris Flexen,26.161,P,6-3,250,R,R,1994-07-01,"Newark,CA",2017-2021,SEA
3,Logan Gilbert,24.008,P,6-5,195,R,R,1997-05-05,"Apopka,FL",2021-2021,SEA
4,Ken Giles,31.044,P,6-3,210,R,R,1990-09-20,"Albuquerque,NM",2014-2020,SEA
5,Marco Gonzales,29.134,P,6-1,197,L,L,1992-02-16,"Fort Collins,CO",2014-2021,SEA
6,Ray Kerr,27.069,P,6-2,185,L,L,1994-09-10,"Sacramento,CA",,SEA
7,Nick Margevicius,25.137,P,6-5,220,L,L,1996-06-18,"North Royalton,OH",2019-2021,SEA
8,Anthony Misiewicz,26.307,P,6-1,200,R,L,1994-11-01,"Chesterfield,MI",2020-2021,SEA
9,Andres Munoz,22.259,P,6-2,243,R,R,1999-01-16,"Las Matas de Farfan,DR",2019-2021,SEA
10,James Paxton,32.361,P,6-4,227,L,L,1988-11-06,"Richmond,BC",2013-2021,SEA
11,Yohan Ramirez,26.106,P,6-4,190,R,R,1995-05-06,"Villa Mella,DR",2020-2021,SEA
12,Casey Sadler,31.043,P,6-3,205,R,R,1990-07-13,"Ripley,OK",2014-2021,SEA
13,Paul Sewald,31.082,P,6-3,207,R,R,1990-05-26,"Las Vegas,NV",2017-2021,SEA
14,Drew Steckenrider,30.146,P,6-4,217,B,R,1991-01-10,"Atlanta,GA",2017-2021,SEA
15,Erik Swanson,27.306,P,6-3,220,R,R,1993-09-04,"Terrace Park,OH",2019-2021,SEA
16,Tom Murphy,29.287,C-DH-,6-1,218,R,R,1991-04-03,"West Monroe,NY",2015-2021,SEA
17,Cal Raleigh,24.226,C-1B,6-3,205,B,R,1996-11-26,"Cullowhee,NC",2021-2021,SEA
18,Luis Torrens,25.042,C-dh-,6-0,208,R,R,1996-05-02,"Caracas,VZ",2017-2021,SEA
19,JP Crawford,26.004,SS,6-2,199,L,R,1995-01-11,"Lakewood,CA",2017-2021,SEA
20,Ty France,26.315,1B-3B,5-11,217,R,R,1994-07-13,"Downey,CA",2019-2021,SEA
21,Dylan Moore,28.314,2B-LF,6-0,185,R,R,1992-08-02,"Newport Beach,CA",2019-2021,SEA
22,Abraham Toro,24.219,3B-2B,6-0,206,B,R,1996-12-20,"Greenfield Park,QC",2019-2021,SEA
23,Donnie Walton,27.13,SS-2B,5-10,175,B,R,1994-05-25,"Tulsa,OK",2019-2021,SEA
24,Evan White,25.19,1B,6-3,220,R,L,1996-04-26,"Columbus,OH",2020-2021,SEA
25,Jake Fraley,26.112,LF-CF,6-0,195,L,L,1995-05-25,"Frederick,MD",2019-2021,SEA
26,Mitch Haniger,29.347,RF-DH,6-2,199,R,R,1990-12-23,"Mountain View,CA",2016-2021,SEA
27,Jarred Kelenic,22.0,CF-LF,6-1,190,L,L,1999-07-16,"Waukesha,WI",2021-2021,SEA
28,Kyle Lewis,26.113,CF-LF,6-4,205,R,R,1995-07-13,"Snellville,GA",2019-2021,SEA
29,Alberto Rodriguez,21.042,RF-LF,5-11,180,L,L,2000-10-06,"Cotui,DR",,SEA
30,Julio Rodriguez,20.323,RF-CF,6-3,180,R,R,2000-12-29,"Loma de Cabrera,DR",,SEA
