,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Scott Barlow,26.208,P,6-3,215,R,R,1992-12-18,"New London,CT",2018-2021,KC
1,Jonathan Bowlan,24.352,P,6-6,262,R,R,1996-12-01,"Arlington,TN",,KC
2,Jake Brentz,26.352,P,6-2,175,L,L,1994-09-14,"Ballwin,MO",2021-2021,KC
3,Dylan Coleman,25.003,P,6-6,215,R,R,1996-09-16,"Potosi,MO",2021-2021,KC
4,Jesse Hahn,32.096,P,6-5,200,R,R,1989-07-30,"Norwich,CT",2014-2021,KC
5,Jon Heasley,24.231,P,6-3,216,R,R,1997-01-27,"Plano,TX",2021-2021,KC
6,Carlos Hernandez,24.089,P,6-4,250,R,R,1997-03-11,"Guayana,VZ",2020-2021,KC
7,Brad Keller,26.099,P,6-5,250,R,R,1995-07-27,"Flowery Branch,GA",2018-2021,KC
8,Jackson Kowar,24.332,P,6-4,170,R,R,1996-10-04,"Charlotte,NC",2021-2021,KC
9,Richard Lovelady,26.119,P,6-0,185,L,L,1995-07-07,"Hinesville,GA",2019-2021,KC
10,Daniel Lynch,24.322,P,6-4,175,L,L,1996-11-17,"Henrico,VA",2021-2021,KC
11,Mike Minor,33.283,P,6-4,210,R,L,1987-12-26,"Chapel Hill,TN",2010-2021,KC
12,Joel Payamps,27.158,P,6-2,225,R,R,1994-04-07,"Santo Domingo,DR",2019-2021,KC
13,Brady Singer,25.061,P,6-5,210,R,R,1996-08-04,"Eustis,FL",2020-2021,KC
14,Collin Snider,26.04,P,6-4,190,R,R,1995-10-10,"Nashville,TN",,KC
15,Gabe Speier,26.156,P,5-11,175,R,R,1995-04-12,"Santa Barbara,CA",2019-2021,KC
16,Josh Staumont,27.249,P,6-3,205,R,R,1993-12-21,"La Habra Heights,CA",2019-2021,KC
17,Domingo Tapia,29.219,P,6-3,263,R,R,1991-12-16,"Santo Domingo,DR",2020-2021,KC
18,Nathan Webb,24.09,P,6-2,215,R,R,1997-08-20,"Lees Summit,MO",,KC
19,Angel Zerpa,22.003,P,6-0,175,L,L,1999-09-27,"Valle de la Pascua,VZ",2021-2021,KC
20,Cam Gallagher,28.288,C,6-3,230,R,R,1992-12-06,"Lancaster,PA",2017-2021,KC
21,M.J. Melendez,22.355,C-3B,6-1,175,L,R,1998-11-29,"Montgomery,AL",,KC
22,Salvador Perez,30.315,c-dh-,6-3,250,R,R,1990-05-10,"Valencia,VZ",2011-2021,KC
23,Sebastian Rivero,22.319,C,6-1,180,R,R,1998-11-16,"Maracay,VZ",2021-2021,KC
24,Hunter Dozier,29.279,3B-RF,6-4,220,R,R,1991-08-22,"Denton,TX",2016-2021,KC
25,Maikel Garcia,21.26,SS,6-0,145,R,R,2000-03-03,"La Sabana,VZ",,KC
26,Nicky Lopez,26.018,SS-2B,5-11,175,L,R,1995-03-13,"Bolingbrook,IL",2019-2021,KC
27,Whit Merrifield,30.004,2B-RF,6-1,195,R,R,1989-01-24,"Advance,NC",2016-2021,KC
28,Adalberto Mondesi,26.036,SS-3B,6-1,200,R,R,1995-07-27,"San Antonio,TX",2016-2021,KC
29,Ryan O'Hearn,27.33,1B-DH,6-3,220,L,L,1993-07-26,"Frisco,TX",2018-2021,KC
30,Nick Pratto,23.044,1B-RF,6-1,195,L,L,1998-10-06,"Huntington Beach,CA",,KC
31,Carlos Santana,34.244,1B-DH,5-11,210,B,R,1986-04-08,"Santo Domingo,DR",2010-2021,KC
32,Andrew Benintendi,27.12,LF-CF,5-9,180,L,L,1994-07-06,"Cincinnati,OH",2016-2021,KC
33,Kyle Isbel,24.192,CF-RF,5-11,185,L,R,1997-03-03,"Fontana,CA",2021-2021,KC
34,Michael Taylor,30.186,CF-RF,6-4,215,R,R,1991-03-26,"Fort Lauderdale,FL",2014-2021,KC
