,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Cory Abbott,26.011,P,6-1,210,R,R,1995-09-20,"San Diego,CA",2021-2021,CHC
1,Jason Adam,30.055,P,6-3,229,R,R,1991-08-04,"Overland Park,KS",2018-2021,CHC
2,Adbert Alzolay,26.184,P,6-1,208,R,R,1995-03-01,"Puerto Ordaz,VZ",2019-2021,CHC
3,Scott Effross,27.243,P,6-2,190,R,R,1993-12-28,"Twinsburg,OH",2021-2021,CHC
4,Kyle Hendricks,29.206,P,6-3,190,R,R,1989-12-07,"Newport Beach,CA",2014-2021,CHC
5,Codi Heuer,25.026,P,6-5,190,R,R,1996-07-03,"Missoula,MT",2020-2021,CHC
6,Trevor Megill,27.252,P,6-8,235,L,R,1993-12-05,"Long Beach,CA",2021-2021,CHC
7,Wade Miley,34.357,P,6-2,220,L,L,1986-11-13,"Hammond,LA",2011-2021,CHC
8,Alec Mills,29.19,P,6-4,205,R,R,1991-11-30,"Clarksville,TN",2016-2021,CHC
9,Tommy Nance,30.213,P,6-6,210,R,R,1991-03-19,"Long Beach,CA",2021-2021,CHC
10,Ethan Roberts,24.138,P,5-11,170,R,R,1997-07-04,"Sparta,TN",,CHC
11,Manuel Rodriguez,25.059,P,5-11,210,R,R,1996-08-06,"Uman,MX",2021-2021,CHC
12,Michael Rucker,27.094,P,6-1,185,R,R,1994-04-27,"Lake Tapps,WA",2021-2021,CHC
13,Justin Steele,26.03,P,6-2,205,L,L,1995-07-11,"Lucedale,MS",2021-2021,CHC
14,Keegan Thompson,26.206,P,6-1,208,R,R,1995-03-13,"Cullman,AL",2021-2021,CHC
15,Rowan Wick,28.273,P,6-3,234,L,R,1992-11-09,"North Vancouver,BC",2018-2021,CHC
16,Brad Wieck,30.02,P,6-8,257,L,L,1991-10-14,"Canyon,TX",2018-2021,CHC
17,Willson Contreras,29.144,C-DH-,6-1,225,R,R,1992-05-13,"Puerto Cabello,VZ",2016-2021,CHC
18,Jose Lobaton,37.012,C,6-1,200,B,R,1984-10-21,"Portuguesa,VZ",2009-2021,CHC
19,Sergio Alcantara,25.018,SS-2B,5-9,151,B,R,1996-07-10,"Santo Domingo,DR",2020-2021,CHC
20,David Bote,28.193,3B-2B,6-1,205,R,R,1993-04-07,"Thornton,CO",2018-2021,CHC
21,Nico Hoerner,24.145,SS-2B,6-1,200,R,R,1997-05-13,"Oakland,CA",2019-2021,CHC
22,Nick Madrigal,24.242,2B-DH,5-8,175,R,R,1997-03-05,"Elk Grove,CA",2020-2021,CHC
23,Alfonso Rivas,25.05,1B-LF,6-0,180,L,L,1996-09-13,"San Diego,CA",2021-2021,CHC
24,Frank Schwindel,29.03,1B-DH,6-1,195,R,R,1992-06-29,"Livingston,NJ",2019-2021,CHC
25,Patrick Wisdom,30.052,3B-1B,6-2,210,R,R,1991-08-27,"Murrieta,CA",2018-2021,CHC
26,Greg Deichmann,26.116,RF-LF,6-2,185,L,R,1995-05-31,"Metairie,LA",2021-2021,CHC
27,Ian Happ,26.276,CF-LF,6-0,205,B,R,1994-08-12,"Pittsburgh,PA",2017-2021,CHC
28,Michael Hermosillo,26.29,CF-LF,5-9,189,R,R,1995-01-17,"Ottawa,IL",2018-2021,CHC
29,Jason Heyward,32.056,RF-CF,6-5,240,L,L,1989-08-09,"McDonough,GA",2010-2021,CHC
30,Rafael Ortega,30.011,CF-RF,5-11,160,L,R,1991-05-15,"Caracas,VZ",2012-2021,CHC
31,Harold Ramirez,27.077,LF-RF,5-10,232,R,R,1994-09-06,"Cartagena,CB",2019-2021,CHC
32,Nelson Velazquez,22.328,RF-CF,6-0,190,R,R,1998-12-26,"Carolina,PR",,CHC
