,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Jose Alvarez,32.185,P,5-11,195,L,L,1989-05-06,"Barcelona,VZ",2013-2021,SF
1,Tyler Beede,28.165,P,6-2,216,R,R,1993-05-23,"Auburn,MA",2018-2021,SF
2,Kervin Castro,22.211,P,6-0,185,R,R,1999-02-07,"Maracay,VZ",2021-2021,SF
3,Sam Delaplane,26.222,P,5-11,175,R,R,1995-03-27,"San Jose,CA",,SF
4,Anthony DeSclafani,31.218,P,6-1,200,R,R,1990-04-18,"Freehold,NJ",2014-2021,SF
5,Camilo Doval,24.062,P,6-2,185,R,R,1997-07-04,"Yamasa,DR",2021-2021,SF
6,Jarlin Garcia,28.108,P,6-3,215,L,L,1993-01-18,"Santo Domingo,DR",2017-2021,SF
7,Hunter Harvey,26.331,P,6-3,210,R,R,1994-12-09,"Catawba,NC",2019-2021,SF
8,Sean Hjelle,24.196,P,6-11,200,R,R,1997-05-07,"Fridley,MN",,SF
9,Scott Kazmir,37.283,P,6-1,170,L,L,1984-01-24,"Houston,TX",2004-2021,SF
10,Dominic Leone,29.218,P,5-10,175,R,R,1991-10-26,"Norwich,CT",2014-2021,SF
11,Zack Littell,25.306,P,6-3,190,R,R,1995-10-05,"Mebane,NC",2018-2021,SF
12,Yunior Marte,26.278,P,6-2,165,R,R,1995-02-02,"Santo Domingo,DR",,SF
13,Jake McGee,35.057,P,6-4,229,L,L,1986-08-06,"San Jose,CA",2010-2021,SF
14,Dedniel Nunez,25.15,P,6-2,180,R,R,1996-06-05,"Puerto Plata,DR",,SF
15,Joe Palumbo,27.01,P,6-0,195,L,L,1994-10-26,"Holbrook,NY",2019-2020,SF
16,Randy Rodriguez,22.075,P,6-0,166,R,R,1999-09-05,"Santo Domingo,DR",,SF
17,Tyler Rogers,28.253,P,6-3,181,R,R,1990-12-17,"Littleton,CO",2019-2021,SF
18,Tony Watson,36.157,P,6-3,224,L,L,1985-05-30,"Sioux City,IA",2011-2021,SF
19,Logan Webb,24.239,P,6-1,220,R,R,1996-11-18,"Rocklin,CA",2019-2021,SF
20,Curt Casali,32.215,C-1B-,6-2,220,R,R,1988-11-09,"New Canaan,CT",2014-2021,SF
21,Brandon Belt,33.21,1B-LF,6-3,231,L,L,1988-04-20,"Nacogdoches,TX",2011-2021,SF
22,Brandon Crawford,34.204,SS,6-1,223,L,R,1987-01-21,"Mountain View,CA",2011-2021,SF
23,Thairo Estrada,25.233,SS-2B,5-10,185,R,R,1996-02-22,"Bejuma,VZ",2019-2021,SF
24,Wilmer Flores,30.093,2B-1B,6-2,213,R,R,1991-08-06,"Valencia,VZ",2013-2021,SF
25,Tommy La Stella,32.185,2B-3B,5-11,180,L,R,1989-01-31,"Closter,NJ",2014-2021,SF
26,Evan Longoria,35.331,3B,6-1,213,R,R,1985-10-07,"Downey,CA",2008-2021,SF
27,Austin Slater,28.272,RF-CF,6-1,204,R,R,1992-12-13,"Jacksonville,FL",2017-2021,SF
28,Donovan Solano,33.274,2B-SS,5-8,210,R,R,1987-12-17,"Barranquilla,CB",2012-2021,SF
29,Brock Stassi,31.312,1B-LF,6-2,185,L,L,1989-08-07,"Yuba City,CA",2017-2017,SF
30,Austin Dean,28.021,LF-1B,6-0,215,R,R,1993-10-14,"Spring,TX",2018-2021,SF
31,Steven Duggar,27.305,CF-RF,6-1,187,L,R,1993-11-04,"Spartanburg,SC",2018-2021,SF
32,Luis Gonzalez,26.055,CF-RF,6-1,180,L,L,1995-09-10,"Hermosillo,MX",2020-2021,SF
33,Heliot Ramos,22.073,CF-RF,6-1,188,R,R,1999-09-07,"Maunabo,PR",,SF
34,Darin Ruf,35.064,lf-1b,6-2,232,R,R,1986-07-28,"Omaha,NE",2012-2021,SF
35,LaMonte Wade,27.175,RF-LF,6-1,205,L,L,1994-01-01,"Owings Mills,MD",2019-2021,SF
36,Michael Yastrzemski,30.293,RF-CF,5-11,185,L,L,1990-08-23,"Andover,MA",2019-2021,SF
