,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Jason Bilous,24.1,P,6-2,185,R,R,1997-08-11,"Wilmington,DE",,CWS
1,Aaron Bummer,27.297,P,6-3,215,L,L,1993-09-21,"Valencia,CA",2017-2021,CWS
2,Ryan Burr,27.098,P,6-4,210,R,R,1994-05-28,"Highlands Ranch,CO",2018-2021,CWS
3,Dylan Cease,25.109,P,6-2,200,R,R,1995-12-28,"Milton,GA",2019-2021,CWS
4,Garrett Crochet,21.32,p,6-6,218,L,L,1999-06-21,"Ocean Springs,MS",2020-2021,CWS
5,Matt Foster,26.242,P,6-0,210,R,R,1995-01-27,"Valley,AL",2020-2021,CWS
6,Lucas Giolito,27.061,P,6-6,245,R,R,1994-07-14,"Santa Monica,CA",2016-2021,CWS
7,Liam Hendriks,31.339,P,6-0,230,R,R,1989-02-10,"Perth,AU",2011-2021,CWS
8,Dallas Keuchel,32.261,P,6-2,220,L,L,1988-01-01,"Tulsa,OK",2012-2021,CWS
9,Craig Kimbrel,33.161,P,6-0,215,R,R,1988-05-28,"Huntsville,AL",2010-2021,CWS
10,Michael Kopech,25.06,P,6-3,205,R,R,1996-04-30,"Mount Pleasant,TX",2018-2021,CWS
11,Reynaldo Lopez,27.193,P,6-1,220,R,R,1994-01-04,"San Pedro de Macoris,DR",2016-2021,CWS
12,Lance Lynn,34.121,P,6-5,250,R,R,1987-05-12,"Brownsburg,IN",2011-2021,CWS
13,Anderson Severino,27.048,P,5-10,165,L,L,1994-09-17,"Santo Domingo,DR",,CWS
14,Bennett Sousa,26.227,P,6-3,180,L,L,1995-04-06,"North Palm Beach,FL",,CWS
15,Jacob Waguespack,27.145,P,6-6,235,R,R,1993-11-05,"Prairieville,LA",2019-2020,CWS
16,Zack Collins,26.219,C-1B-,6-3,230,L,R,1995-02-06,"Pembroke Pines,FL",2019-2021,CWS
17,Yasmani Grandal,32.291,C-1B-,6-2,230,B,R,1988-11-08,"Miami,FL",2012-2021,CWS
18,Jose Abreu,32.288,1B-DH,6-3,250,R,R,1987-01-29,"Cruces,CU",2014-2021,CWS
19,Tim Anderson,28.082,SS-DH,6-1,185,R,R,1993-06-23,"Tuscaloosa,AL",2016-2021,CWS
20,Danny Mendick,28.009,2B-SS,5-10,195,R,R,1993-09-28,"Rochester,NY",2019-2021,CWS
21,Yoan Moncada,25.057,3B-DH,6-2,225,B,R,1995-05-27,"Abreus,CU",2016-2021,CWS
22,Gavin Sheets,25.13,1B-RF,6-4,215,L,L,1996-04-23,"Baltimore,MD",2021-2021,CWS
23,Adam Engel,29.286,CF-RF,6-2,220,R,R,1991-12-09,"Cincinnati,OH",2017-2021,CWS
24,Eloy Jimenez,24.241,LF-DH,6-4,235,R,R,1996-11-27,"Santo Domingo,DR",2019-2021,CWS
25,Luis Robert,24.005,CF-RF,6-2,210,R,R,1997-08-03,"La Habana,CU",2020-2021,CWS
26,Andrew Vaughn,23.173,LF-1B,5-11,208,R,R,1998-04-03,"Satna Rosa,CA",2021-2021,CWS
