,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Jose Alvarado,26.097,P,6-2,245,L,L,1995-05-21,"Maracaibo,VZ",2017-2021,PHI
1,Connor Brogdon,26.249,P,6-6,205,R,R,1995-01-29,"Madera,CA",2020-2021,PHI
2,Sam Coonrod,28.336,P,6-1,225,R,R,1992-09-22,"St. Louis,MO",2019-2021,PHI
3,Hans Crouse,23.011,P,6-5,190,L,R,1998-09-15,"Dana Point,CA",2021-2021,PHI
4,Kyle Dohy,25.007,P,6-2,176,L,L,1996-09-17,"Covina,CA",2021-2021,PHI
5,Seranthony Dominguez,26.311,P,6-1,225,R,R,1994-11-25,"Mao,DR",2018-2021,PHI
6,Zach Eflin,27.209,P,6-6,220,R,R,1994-04-08,"Chuluota,FL",2016-2021,PHI
7,Kent Emanuel,29.167,P,6-4,188,L,L,1992-06-04,"Des Plaines,IL",2021-2021,PHI
8,Bailey Falter,24.112,P,6-4,175,R,L,1997-04-24,"Chino Hills,CA",2021-2021,PHI
9,Kyle Gibson,33.28,P,6-6,215,R,R,1987-10-23,"Greenfield,IN",2013-2021,PHI
10,James McArthur,24.342,P,6-7,230,R,R,1996-12-11,"New Braunfels,TX",,PHI
11,Adonis Medina,24.266,P,6-1,187,R,R,1996-12-18,"Santo Domingo,DR",2020-2021,PHI
12,Scott Moss,27.049,P,6-6,225,L,L,1994-10-06,"Deltona,FL",,PHI
13,Aaron Nola,28.046,P,6-2,200,R,R,1993-06-04,"Baton Rouge,LA",2015-2021,PHI
14,JoJo Romero,25.054,P,5-11,200,L,L,1996-09-09,"Oxnard,CA",2020-2021,PHI
15,Cristopher Sanchez,24.284,P,6-1,165,L,L,1996-12-12,"La Romana,DR",2021-2021,PHI
16,Ryan Sherriff,31.164,P,6-1,190,L,L,1990-05-25,"Culver City,CA",2017-2021,PHI
17,Ranger Suarez,25.253,P,6-1,217,L,L,1995-08-26,"Carora,VZ",2018-2021,PHI
18,Zack Wheeler,29.192,P,6-4,195,R,R,1990-05-30,"Dallas,GA",2013-2021,PHI
19,J.T. Realmuto,30.073,C-1B-,6-1,212,R,R,1991-03-18,"Midwest City,OK",2014-2021,PHI
20,Garrett Stubbs,28.177,C-LF-,5-10,170,L,R,1993-05-26,"Del Mar,CA",2019-2021,PHI
21,Alec Bohm,25.055,3B-1B,6-5,218,R,R,1996-08-03,"Lincoln,NE",2020-2021,PHI
22,Luis Garcia,21.048,SS-2B,5-11,170,B,R,2000-10-01,---,,PHI
23,Alex Gonzalez,32.326,SS-3B,6-0,200,R,R,1973-04-08,"Miami,FL",1994-2006,PHI
24,Didi Gregorius,31.197,SS-DH,6-3,205,L,R,1990-02-18,"Amsterdam,NT",2012-2021,PHI
25,Rhys Hoskins,28.23,1B-DH,6-4,245,R,R,1993-03-17,"Sacramento,CA",2017-2021,PHI
26,Jhailyn Ortiz,23.001,RF-CF,6-3,235,R,R,1998-11-18,"Jarabacoa,DR",,PHI
27,TJ Rivera,32.284,2B-1B,6-0,195,R,R,1988-10-27,"Bronx,NY",2016-2017,PHI
28,Donny Sands,25.186,C-1B-,6-2,190,R,R,1996-05-16,"Tucson,AZ",,PHI
29,Jean Segura,31.104,2b-SS,5-10,220,R,R,1990-03-17,"San Juan,DR",2012-2021,PHI
30,Bryce Harper,28.231,RF-DH,6-3,210,L,R,1992-10-16,"Las Vegas,NV",2012-2021,PHI
31,Adam Haseley,25.175,CF-LF,6-1,190,L,L,1996-04-12,"Windermere,FL",2019-2021,PHI
32,Roman Quinn,28.173,CF-rf,5-10,175,R,R,1993-05-14,"Port St. Joe,FL",2016-2021,PHI
33,Matt Vierling,24.349,LF-RF,6-3,205,R,R,1996-09-16,"St. Louis,MO",2021-2021,PHI
