,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Genesis Cabrera,23.299,P,6-2,180,L,L,1996-10-10,"Santo Domingo,DR",2019-2021,STL
1,Junior Fernandez,24.246,P,6-3,215,R,R,1997-03-02,"Santo Domingo,DR",2019-2021,STL
2,Jack Flaherty,25.344,P,6-4,225,R,R,1995-10-15,"Burbank,CA",2017-2021,STL
3,Giovanny Gallegos,29.038,P,6-2,215,R,R,1991-08-14,"Obregon,MX",2017-2021,STL
4,Ryan Helsley,27.108,P,6-2,230,R,R,1994-07-18,"Tahlequah,OK",2019-2021,STL
5,Jordan Hicks,25.048,P,6-2,185,R,R,1996-09-06,"Houston,TX",2018-2021,STL
6,Dakota Hudson,27.009,P,6-5,215,R,R,1994-09-15,"Dunlap,TN",2018-2021,STL
7,Wade LeBlanc,37.088,P,6-3,215,L,L,1984-08-07,"Lake Charles,LA",2008-2021,STL
8,TJ McFarland,32.153,P,6-3,200,L,L,1989-06-08,"Palos Park,IL",2013-2021,STL
9,Miles Mikolas,32.361,P,6-4,230,R,R,1988-08-23,"Jupiter,FL",2012-2021,STL
10,Freddy Pacheco,23.216,P,5-11,203,R,R,1998-04-17,"Araguita,VZ",,STL
11,Alex Reyes,26.139,P,6-4,220,R,R,1994-08-29,"Elizabeth,NJ",2016-2021,STL
12,Adam Wainwright,39.246,P,6-7,230,R,R,1981-08-30,"St. Simons Island,GA",2005-2021,STL
13,Jake Walsh,26.122,P,6-1,180,R,R,1995-07-20,"Melbourne,FL",,STL
14,Kodi Whitley,26.188,P,6-3,220,R,R,1995-02-21,"Clayton,NC",2020-2021,STL
15,Jake Woodford,24.332,P,6-4,215,R,R,1996-10-28,"Tampa,FL",2020-2021,STL
16,TJ Zeuch,25.358,P,6-7,245,R,R,1995-08-01,"Mason,OH",2019-2021,STL
17,Yadier Molina,39.042,C-1B-,5-11,225,R,R,1982-07-13,"Vega Alta,PR",2004-2021,STL
18,Nolan Arenado,29.291,3B-DH,6-2,215,R,R,1991-04-16,"Lake Forest,CA",2013-2021,STL
19,Paul DeJong,27.313,SS,6-0,205,R,R,1993-08-02,"Orlando,FL",2017-2021,STL
20,Brendan Donovan,24.307,2B-3B,6-2,195,L,R,1997-01-16,"Wurzburg,GE",,STL
21,Tommy Edman,24.029,2B-3B,5-10,180,B,R,1995-05-09,"San Diego,CA",2019-2021,STL
22,Paul Goldschmidt,31.086,1B-dh,6-3,220,R,R,1987-09-10,"Wilmington,DE",2011-2021,STL
23,Jose Rondon,27.087,SS-3B,6-1,160,R,R,1994-03-03,"Villa de Cura,CU",2016-2021,STL
24,Edmundo Sosa,24.174,SS-2B,6-0,210,R,R,1996-03-06,"Panama City,PN",2018-2021,STL
25,Juan Yepez,23.229,1B-3B,6-1,200,R,R,1998-02-19,"Caracas,VZ",,STL
26,Harrison Bader,27.028,CF-dh,6-0,210,R,R,1994-06-03,"Bronxville,NY",2017-2021,STL
27,Dylan Carlson,22.305,CF-RF,6-2,205,B,L,1998-10-23,"Elk Grove,CA",2020-2021,STL
28,Lars Nootbaar,23.325,RF-LF,6-2,205,L,R,1997-09-08,"El Segundo,CA",2021-2021,STL
29,Tyler O'Neill,25.339,LF-RF,5-11,200,R,R,1995-06-22,"Maple Ridge,BC",2018-2021,STL
