,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Jorge Alcala,26.03,P,6-3,205,R,R,1995-07-28,"Bajos de Haina,DR",2019-2021,MIN
1,Jharel Cotton,29.29,P,6-0,180,R,R,1992-01-19,"St. Thomas,VG",2016-2021,MIN
2,Daniel Coulombe,31.266,P,6-0,185,L,L,1989-10-26,"Scottsdale,AZ",2014-2021,MIN
3,Randy Dobnak,26.29,P,6-1,230,R,R,1995-01-17,"South Park,PA",2019-2021,MIN
4,Tyler Duffey,30.144,P,6-3,220,R,R,1990-12-27,"Houston,TX",2015-2021,MIN
5,Blayne Enlow,22.243,P,6-3,180,R,R,1999-03-21,"Sorrento,LA",,MIN
6,Ralph Garza,27.13,P,6-3,185,R,R,1994-04-06,"Edinburg,TX",2021-2021,MIN
7,Griffin Jax,26.25,P,6-1,190,R,R,1994-11-22,"Greenwood Village,CO",2021-2021,MIN
8,Kenta Maeda,33.205,P-DH,6-1,185,R,R,1988-04-11,"Osaka,JP",2016-2021,MIN
9,Juan Minaya,30.302,P,6-4,185,R,R,1990-09-18,"Maimon,DR",2016-2021,MIN
10,Jovani Moran,24.139,P,6-1,165,L,L,1997-04-24,"Florida,PR",2021-2021,MIN
11,Bailey Ober,26.085,P,6-8,215,R,R,1995-07-12,"Huntersville,NC",2021-2021,MIN
12,Taylor Rogers,30.321,P,6-3,190,L,L,1990-12-17,"Denver,CO",2016-2021,MIN
13,Joe Ryan,25.115,P,6-1,185,R,R,1996-06-05,"San Anselmo,CA",2021-2021,MIN
14,Cole Sands,24.124,P,6-2,205,R,R,1997-07-17,"Tallahassee,FL",,MIN
15,Cody Stashak,27.152,P,6-2,180,R,R,1994-06-04,"Mays Landing,NJ",2019-2021,MIN
16,Caleb Thielbar,34.276,P,6-0,205,L,R,1987-01-31,"Northfield,MN",2013-2021,MIN
17,Lewis Thorpe,25.345,P,6-1,218,R,L,1995-11-23,"Melbourne,AU",2019-2021,MIN
18,Chris Vallimont,24.246,P,6-5,220,R,R,1997-03-18,"Erie,PA",,MIN
19,Josh Winder,25.038,P,6-5,210,R,R,1996-10-11,"Richmond,VA",,MIN
20,Rich Yett,27.084,P,6-2,187,R,R,1962-10-06,"Pomona,CA",1985-1990,MIN
21,Ryan Jeffers,23.364,C-dh-,6-4,235,R,R,1997-06-03,"Raleigh,NC",2020-2021,MIN
22,Luis Arraez,24.112,2B-3B,5-10,175,L,R,1997-04-09,"San Felipe,VZ",2019-2021,MIN
23,Josh Donaldson,35.127,3B-DH,6-1,210,R,R,1985-12-08,"Pensacola,FL",2010-2021,MIN
24,Nick Gordon,25.296,SS-2B,6-0,160,L,R,1995-10-24,"Avon Park,FL",2021-2021,MIN
25,Royce Lewis,22.167,SS-2B,6-1,185,R,R,1999-06-05,"Aliso Viejo,CA",,MIN
26,Jose Miranda,23.143,3B-2B,6-2,180,R,R,1998-06-29,"Manati,PR",,MIN
27,Jorge Polanco,25.223,SS-2B,5-11,208,B,R,1993-07-05,"San Pedro de Macoris,DR",2014-2021,MIN
28,Miguel Sano,28.104,1B-3B,6-4,272,R,R,1993-05-11,"San Pedro de Macoris,DR",2015-2021,MIN
29,Byron Buxton,27.252,CF-DH,6-2,190,R,R,1993-12-18,"Baxley,GA",2015-2021,MIN
30,Jake Cave,28.346,CF-RF,6-0,200,L,L,1992-12-07,"Hampton,VA",2018-2021,MIN
31,Max Kepler,28.127,RF-CF,6-4,225,L,L,1993-02-10,"Stuttgart,GE",2015-2021,MIN
32,Alex Kirilloff,23.36,RF-1B,6-2,195,L,L,1997-11-09,"Pittsburgh,PA",2021-2021,MIN
33,Brent Rooker,26.319,LF-rf,6-3,225,R,R,1994-11-01,"Germantown,TN",2020-2021,MIN
34,Mitch Garver,30.248,C-DH-,6-1,220,R,R,1991-01-15,"Albuquerque,NM",2017-2021,MIN
