,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Jaime Barria,25.078,P,6-1,180,R,R,1996-07-18,"Panama City,PN",2018-2021,LAA
1,Dylan Bundy,28.352,p,6-1,200,B,R,1992-11-15,"Tulsa,OK",2012-2021,LAA
2,Reid Detmers,22.087,P,6-2,210,L,L,1999-07-08,"Chatham,IL",2021-2021,LAA
3,Jimmy Herget,27.356,P,6-3,170,R,R,1993-09-09,"Tampa,FL",2019-2021,LAA
4,Aaron Loup,33.338,P,5-11,210,L,L,1987-12-19,"Raceland,LA",2012-2021,LAA
5,Mike Mayers,29.15,P,6-3,195,R,R,1991-12-06,"Grove City,OH",2016-2021,LAA
6,Shohei Ohtani,26.218,DH-p-,6-3,198,L,R,1994-07-05,"Iwate,JP",2018-2021,LAA
7,Oliver Ortega,24.333,P,6-0,165,R,R,1996-10-02,"Nagua,DR",2021-2021,LAA
8,Jose Quijada,25.263,P,6-0,175,L,L,1995-11-09,"Maturin,VZ",2019-2021,LAA
9,Patrick Sandoval,25.015,P,6-3,190,L,L,1996-10-18,"Mission Viejo,CA",2019-2021,LAA
10,Sam Selman,30.316,P,6-2,198,R,L,1990-11-14,"Austin,TX",2019-2021,LAA
11,Jose Suarez,23.145,P,5-10,170,L,L,1998-01-03,"Naguanagua,VZ",2019-2021,LAA
12,Noah Syndergaard,29.078,P,6-6,242,L,R,1992-08-29,"Mansfield,TX",2015-2021,LAA
13,Kyle Tyler,24.281,P,6-0,185,R,R,1996-12-27,"Oklahoma City,OK",2021-2021,LAA
14,Andrew Wantz,25.309,P,6-4,235,R,R,1995-10-13,"Holly springs,NC",2021-2021,LAA
15,Austin Warren,25.137,P,6-0,170,R,R,1996-05-05,"Fayetteville,NC",2021-2021,LAA
16,Max Stassi,30.078,C-1B-,5-10,205,R,R,1991-03-15,"Woodland,CA",2013-2021,LAA
17,Matt Thaiss,26.147,3B-1B,5-11,197,L,R,1995-05-06,"Jackson,NJ",2019-2021,LAA
18,Taylor Ward,27.295,LF-RF,6-2,190,R,R,1993-12-14,"Indio,CA",2018-2021,LAA
19,Brendon Davis,24.1,LF-3B,6-4,155,R,R,1997-07-28,"Lakewood,CA",,LAA
20,David Fletcher,26.305,2B-3B,5-10,175,R,R,1994-05-31,"Orange,CA",2018-2021,LAA
21,Phil Gosselin,32.212,2B-LF,6-1,188,R,R,1988-10-03,"West Chester,PA",2013-2021,LAA
22,Jack Mayfield,30.279,3B-SS,5-11,190,R,R,1990-09-30,"Del Rio,TX",2019-2021,LAA
23,Anthony Rendon,31.15,3B-2B,5-11,170,R,R,1990-06-06,"Houston,TX",2013-2021,LAA
24,Luis Rengifo,24.187,2B-SS,5-10,165,B,R,1997-02-26,"Naguanagua,VZ",2019-2021,LAA
25,Jose Rojas,28.203,3B-2B,6-0,195,L,R,1993-02-24,"Anaheim,CA",2021-2021,LAA
26,Andrew Velazquez,27.114,SS-CF,5-9,170,B,R,1994-07-14,"Bronx,NY",2018-2021,LAA
27,Tyler Wade,26.364,SS-2B,6-1,188,L,R,1994-11-23,"Murrieta,CA",2017-2021,LAA
28,Jared Walsh,28.012,1B-RF,6-0,210,L,L,1993-07-30,"Duluth,GA",2019-2021,LAA
29,Jordan Zimmerman,26.159,3B-1B,6-1,186,R,R,1994-11-21,"Mesa,AZ",,LAA
30,Jo Adell,22.209,RF-LF,6-2,195,R,R,1999-04-08,"Louisville,KY",2020-2021,LAA
31,Brandon Marsh,23.212,CF-RF,6-2,190,L,R,1997-12-18,"Buford,GA",2021-2021,LAA
32,Mike Trout,30.088,CF-DH,6-1,200,R,R,1991-08-07,"Millville,NJ",2011-2021,LAA
33,Justin Upton,34.07,LF-DH,6-2,205,R,R,1987-08-25,"Chesapeake,VA",2007-2021,LAA
