,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Tejay Antone,27.334,P,6-4,230,R,R,1993-12-05,"Mansfield,TX",2020-2021,CIN
1,Brandon Bailey,27.015,P,5-10,195,R,R,1994-10-19,"Broomfield,CO",2020-2020,CIN
2,Luis Castillo,28.288,P,6-2,200,R,R,1992-12-12,"Bani,DR",2017-2021,CIN
3,Luis Cessa,29.093,P,6-0,208,R,R,1992-04-25,"Cordoba,MX",2016-2021,CIN
4,Alexis Diaz,25.051,P,6-2,170,R,R,1996-09-28,"Humacao,PR",,CIN
5,Daniel Duarte,24.349,P,6-0,170,R,R,1996-12-04,"Huatabampo,MX",,CIN
6,Amir Garrett,29.083,P,6-5,239,R,L,1992-05-03,"Henderson,NV",2017-2021,CIN
7,Mychal Givens,31.076,p,6-0,230,R,R,1990-05-13,"Tampa,FL",2015-2021,CIN
8,Sonny Gray,31.253,P,5-10,195,R,R,1989-11-07,"Smyrna,TN",2013-2021,CIN
9,Hunter Greene,22.105,P,6-3,195,R,R,1999-08-06,"Los Angeles,CA",,CIN
10,Vladimir Gutierrez,25.308,P,6-0,190,R,R,1995-09-18,"Havana,CU",2021-2021,CIN
11,Jeff Hoffman,28.193,P,6-5,215,R,R,1993-01-08,"Latham,NY",2016-2021,CIN
12,Michael Lorenzen,29.207,P-CF-,6-3,220,R,R,1992-01-04,"Fullerton,CA",2015-2021,CIN
13,Tyler Mahle,26.108,P,6-3,210,R,R,1994-09-29,"Westminster,CA",2017-2021,CIN
14,James Marinan,23.04,P,6-5,210,R,R,1998-10-10,"Boynton Beach,FL",,CIN
15,Dauri Moreta,25.159,P,6-2,185,R,R,1996-04-15,"Comendador,DR",2021-2021,CIN
16,Reiver Sanmartin,25.164,P,6-2,160,L,L,1996-04-15,"Cartagena,CB",2021-2021,CIN
17,Tony Santillan,24.123,P,6-3,240,R,R,1997-04-15,"Seguin,TX",2021-2021,CIN
18,Lucas Sims,27.09,P,6-2,225,R,R,1994-05-10,"Lawrenceville,GA",2017-2021,CIN
19,Art Warren,28.178,P,6-3,230,R,R,1993-03-23,"Stryker,OH",2019-2021,CIN
20,Justin Wilson,34.079,P,6-2,205,L,L,1987-08-18,"Orange,CA",2012-2021,CIN
21,Tyler Stephenson,25.036,C-1B-,6-4,225,R,R,1996-08-16,"Kennesaw,GA",2020-2021,CIN
22,Jose Barrero,23.158,SS-CF,6-2,175,R,R,1998-04-05,"Havana,CU",2020-2021,CIN
23,Asdrubal Cabrera,35.287,3B-1B,6-0,205,B,R,1985-11-13,"Puerto La Cruz,VZ",2007-2021,CIN
24,Kyle Farmer,31.027,SS-2B,6-0,205,R,R,1990-08-17,"Atlanta,GA",2017-2021,CIN
25,Jonathan India,24.138,2B-3B,6-0,185,R,R,1996-12-15,"Plantation,FL",2021-2021,CIN
26,Logan Morrison,34.07,1B-DH,6-3,245,L,L,1987-08-25,"Kansas City,MO",2010-2020,CIN
27,Mike Moustakas,33.023,3B-2B,6-0,225,L,R,1988-09-11,"Los Angeles,CA",2011-2021,CIN
28,Max Schrock,26.317,3B-2B,5-9,185,L,R,1994-10-12,"Chapel Hill,NC",2020-2021,CIN
29,Eugenio Suarez,29.062,3B-SS,5-11,213,B,R,1991-07-18,"Puerto Ordaz,VZ",2014-2021,CIN
30,Joey Votto,37.285,1B-DH,6-2,220,L,R,1983-09-10,"Toronto,ON",2007-2021,CIN
31,Shogo Akiyama,33.171,cf-lf,6-0,190,L,R,1988-04-16,"Yokosuka,JP",2020-2021,CIN
32,Aristides Aquino,27.052,RF-lf,6-4,220,R,R,1994-04-22,"Santo Domingo,DR",2018-2021,CIN
33,Allan Cerda,21.36,CF-RF,6-3,170,R,R,1999-11-24,"Bronx,NY",,CIN
34,TJ Friedl,26.035,CF-RF,5-10,170,L,L,1995-08-14,"Pleasanton,CA",2021-2021,CIN
35,Tyler Naquin,30.164,RF-CF,6-2,195,L,R,1991-04-24,"Houston,TX",2016-2021,CIN
36,Jesse Winker,28.048,LF-DH,6-3,215,L,L,1993-08-17,"Windermere,FL",2017-2021,CIN
