,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Pedro Baez,33.236,P,6-0,232,R,R,1988-03-11,"Bani,DR",2014-2021,HOU
1,Jonathan Bermudez,26.034,P,6-2,170,L,L,1995-10-16,"Coamo,PR",,HOU
2,Shawn Dubin,26.074,P,6-1,160,R,R,1995-09-06,"Allegany,NY",,HOU
3,Luis Garcia,23.259,P,6-2,211,R,R,1996-12-13,"Bolivar,VZ",2020-2021,HOU
4,Cristian Javier,24.027,P,6-1,213,R,R,1997-03-26,"Santo Domingo,DR",2020-2021,HOU
5,Seth Martinez,27.13,P,6-0,184,R,R,1994-05-29,"Peoria,AZ",2021-2021,HOU
6,Phil Maton,28.127,P,6-2,206,R,R,1993-03-25,"Chatham,IL",2017-2021,HOU
7,Lance McCullers,27.256,p,6-1,202,L,R,1993-10-02,"Tampa,FL",2015-2021,HOU
8,Jake Meyers,25.042,CF-LF,6-0,200,R,L,1996-06-18,"Omaha,NE",2021-2021,HOU
9,Rafael Montero,31.017,P,6-0,190,R,R,1990-10-17,"Higuerito,DR",2014-2021,HOU
10,Jake Odorizzi,31.183,P,6-2,190,R,R,1990-03-27,"Highland,IL",2012-2021,HOU
11,Ryan Pressly,32.231,P,6-2,206,R,R,1988-12-15,"Dallas,TX",2013-2021,HOU
12,Ryne Stanek,30.059,P,6-4,226,R,R,1991-07-26,"Overland Park,KS",2017-2021,HOU
13,Blake Taylor,25.287,P,6-3,220,L,L,1995-08-17,"Mission Viejo,CA",2020-2021,HOU
14,Jose Urquidy,26.123,P,6-0,217,R,R,1995-05-01,"Mazatlan,MX",2019-2021,HOU
15,Framber Valdez,27.19,P,5-11,239,L,L,1993-11-19,"Palenque,DR",2018-2021,HOU
16,Justin Verlander,38.256,P,6-5,235,R,R,1983-02-20,"Manakin-Sabot,VA",2005-2020,HOU
17,Jason Castro,34.09,C-DH,6-3,215,L,R,1987-06-18,"Castro Valley,CA",2010-2021,HOU
18,Martin Maldonado,34.323,C-1B,6-0,230,R,R,1986-08-16,"Naguabo,PR",2011-2021,HOU
19,Jose Altuve,30.355,2B-DH,5-6,166,R,R,1990-05-06,"Maracay,VZ",2011-2021,HOU
20,Alex Bregman,27.148,3B-SS,6-0,192,R,R,1994-03-30,"Albuquerque,NM",2016-2021,HOU
21,Aledmys Diaz,30.359,3B-2B,6-1,195,R,R,1990-08-01,"Santa Clara,CU",2016-2021,HOU
22,Yuli Gurriel,37.148,1B-3B,6-0,215,R,R,1984-06-09,"Sancti Spiritus,CU",2016-2021,HOU
23,Jeremy Pena,24.058,SS-2B,6-0,175,R,R,1997-09-22,"Providence,RI",,HOU
24,Joe Perez,22.099,3B-1B,6-3,210,R,R,1999-08-12,"Fort Lauderdale,FL",,HOU
25,Michael Brantley,34.137,LF-DH,6-2,209,L,L,1987-05-15,"Bellevue,WA",2009-2021,HOU
26,Chas McCormick,26.137,LF-CF,6-0,208,R,L,1995-04-19,"West Chester,PA",2021-2021,HOU
27,Jose Siri,26.043,CF-RF,6-2,175,R,R,1995-07-22,"Sabana Grande De Boya,DR",2021-2021,HOU
28,Myles Straw,26.286,CF-SS,5-10,178,R,R,1994-10-17,"Garden Grove,CA",2018-2021,HOU
29,Kyle Tucker,24.219,RF-LF,6-4,199,L,R,1997-01-17,"Tampa,FL",2018-2021,HOU
30,Yordan Alvarez,24.008,DH-LF,6-5,225,L,L,1997-06-27,"Las Tunas,CU",2019-2021,HOU
